Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,46.876,46.936,45.741,45.904,6709362
2017-01-04,46.232,47.029,45.954,46.301,5750132
2017-01-05,46.122,46.528,45.22,45.507,6292690
2017-01-06,45.458,46.321,45.081,45.815,7071325
2017-01-09,45.616,46.936,45.389,46.678,4554264
2017-01-10,46.598,48.095,46.568,48.065,7269467
2017-01-11,48.869,49.473,47.689,48.224,6368939
2017-01-12,48.254,48.581,46.44,47.689,5345892
2017-01-13,47.748,48.016,47.133,47.243,3510597
2017-01-17,47.153,47.342,46.271,46.351,5265848
2017-01-18,46.321,47.392,46.251,47.233,4921797
2017-01-19,47.233,47.679,46.479,46.856,3709919
2017-01-20,47.133,47.748,46.836,47.589,5486519
2017-01-23,47.49,47.679,46.351,46.538,4135251
2017-01-24,46.648,47.392,46.4,47.133,4870662
2017-01-25,47.49,47.798,47.203,47.5,4491853
2017-01-26,48.016,49.285,47.986,49.166,10075666
2017-01-27,49.572,49.572,46.321,46.548,18594721
2017-01-30,45.23,45.527,43.486,44.507,16129403
2017-01-31,44.408,44.457,43.368,43.872,11151281
2017-02-01,44.368,44.615,43.535,43.673,7893687
2017-02-02,43.237,44.139,43.197,43.633,7627666
2017-02-03,43.932,44.168,43.389,43.822,6412742
2017-02-06,44.418,45.21,44.358,44.913,6341177
2017-02-07,45.359,45.736,44.625,44.784,5699376
2017-02-08,44.874,44.874,44.129,44.674,4158073
2017-02-09,44.784,46.304,44.654,46.006,6884925
2017-02-10,46.325,46.404,45.878,46.155,3998004
2017-02-13,46.265,47.476,46.205,47.109,5893249
2017-02-14,46.96,46.979,46.155,46.275,5300963
2017-02-15,47.288,47.745,46.632,47.239,8118095
2017-02-16,47.199,47.348,46.364,46.672,5616755
2017-02-17,46.532,46.802,46.135,46.612,4384988
2017-02-21,46.712,46.97,46.288,46.512,4442613
2017-02-22,46.205,46.404,45.578,46.025,5477819
2017-02-23,46.125,47.019,45.598,45.808,5235099
2017-02-24,45.708,46.006,45.291,45.987,4402289
2017-02-27,45.888,46.065,45.391,46.025,3869379
2017-02-28,46.025,46.424,45.738,46.065,4601901
2017-03-01,46.492,47.83,46.404,46.792,7970460
