Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,123.32,123.34,119.07,121.33,4214679
2017-01-04,121.53,122.74,119.85,122.46,2935654
2017-01-05,122.73,124.69,122.73,122.98,2455767
2017-01-06,122.96,124.23,122.51,122.74,3006963
2017-01-09,122.43,122.71,119.76,121.66,2486225
2017-01-10,121.2,122.46,120.35,121.41,3161597
2017-01-11,121.19,122.58,120.68,121.37,2752725
2017-01-12,120.61,122.25,120.25,121.38,2751355
2017-01-13,121.52,121.86,120.86,121.05,2807591
2017-01-17,121.09,121.09,118.78,119.8,2804359
2017-01-18,120.34,120.61,118.69,119.73,4289520
2017-01-19,119.76,121.65,118.04,121.3,4133067
2017-01-20,121.15,122.68,120.47,121.27,3362713
2017-01-23,121.19,122.58,116.78,117.97,9778080
2017-01-24,117.21,117.72,115.36,116.41,6501997
2017-01-25,116.82,118.39,115.93,117.91,3661068
2017-01-26,117.78,118.19,116.43,116.44,2699359
2017-01-27,116.93,117.17,115.93,116.25,2219640
2017-01-30,116.35,116.35,114.84,115.51,3350912
2017-01-31,116.29,118.7,115.17,117.39,5572513
2017-02-01,117.08,120.75,116.82,120.36,6783241
2017-02-02,120.04,120.43,118.56,119.21,2922067
2017-02-03,119.33,121.69,119.13,121.3,3787934
2017-02-06,120.57,121.24,118.89,119.55,2513405
2017-02-07,119.55,119.95,118.29,119.43,2923565
2017-02-08,119.18,120.19,118.28,120.08,2205695
2017-02-09,120.35,120.64,119.15,119.96,2971647
2017-02-10,120.47,120.81,119.77,120.44,1998419
2017-02-13,120.51,121.13,120.33,120.8,2053714
2017-02-14,120.36,125.57,120.35,124.51,5194246
2017-02-15,124.59,127.64,124.59,127.11,4816361
2017-02-16,126.81,128.29,126.07,128.16,3856680
2017-02-17,126.99,127.4,123.55,123.98,4257174
2017-02-21,124.46,125.84,124.17,125.04,2775005
2017-02-22,125.25,128.34,125.2,127.46,3506021
2017-02-23,127.89,128.6,127.24,128.4,2562172
2017-02-24,128.16,128.33,126.95,127.64,2389010
2017-02-27,127.23,128.66,127.19,128.13,2391492
2017-02-28,128.22,128.53,127.31,127.43,2137197
2017-03-01,128.86,129.82,128.3,128.71,3923423
2017-03-02,128.59,129.07,128.01,128.18,1574182
2017-03-03,128.11,129.53,127.93,129.34,2115546
2017-03-06,128.45,130.21,128.43,129.95,2201029
2017-03-07,129.69,130.8,129.04,129.25,3106137
2017-03-08,129.3,130.75,129.3,130.35,3135484
2017-03-09,130.39,131.89,130.38,131.45,3779585
2017-03-10,131.83,132.82,130.95,131.44,2538228
2017-03-13,131.24,131.82,130.99,131.26,2442001
2017-03-14,130.69,130.92,129.83,130.6,1823303
2017-03-15,130.9,133.03,130.77,132.73,2205766
2017-03-16,132.57,133.37,130.96,131.7,3128728
2017-03-17,131.59,131.78,130.44,130.44,2754095
2017-03-20,130.38,130.79,128.89,129.02,1697069
2017-03-21,129.26,129.9,127.32,127.76,2856279
