Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,142.52,142.76,138.55,141.25,1547712
2017-01-04,140.69,141.84,138.89,141.06,1268181
2017-01-05,141.04,143.87,141.01,142.55,1325623
2017-01-06,142.36,142.74,141.29,142.33,1121224
2017-01-09,141.25,141.73,140.48,140.8,919928
2017-01-10,140.41,145.43,140.06,144.3,1660768
2017-01-11,144.16,144.69,141.98,143.81,963869
2017-01-12,142.75,146.33,142.32,146.13,2042273
2017-01-13,146.31,147.48,145.35,146.47,1418593
2017-01-17,145.13,145.99,143.29,144.7,970544
2017-01-18,145.36,145.79,143.95,145.16,1784961
2017-01-19,144.89,147.85,142.42,146.05,2120565
2017-01-20,146.96,149.87,146.94,148.53,1989122
2017-01-23,147.9,148.5,144.73,148.06,2080391
2017-01-24,147.9,150.42,146.74,148.13,1632262
2017-01-25,148.65,152.46,148.65,151.57,1994960
2017-01-26,150.94,151.65,149.81,150.27,1455072
2017-01-27,150.91,152.1,149.9,151.21,1785145
2017-01-30,152.31,152.34,150.04,152.04,2275335
2017-01-31,152.23,152.81,149.67,152,2721479
2017-02-01,152.84,158.55,152.23,158.55,4406562
2017-02-02,157.77,158.07,154.48,155.46,2559545
2017-02-03,156.37,159.55,156.11,156.87,2016916
2017-02-06,156.49,157.76,153.99,154.63,1597325
2017-02-07,155.21,157.01,153.18,156.38,2088260
2017-02-08,155.56,156.9,154.63,156.39,1792630
2017-02-09,156.55,160.23,155.54,159.43,2601370
2017-02-10,160.12,160.22,157.96,160.06,1360719
2017-02-13,160.71,161.93,158.75,161.24,1403603
2017-02-14,160.34,163.57,158.37,161.04,4458835
2017-02-15,160.76,162.38,159.51,160.43,3050808
2017-02-16,159.74,161.85,158.05,161.48,2115220
2017-02-17,159.53,160.97,157.41,158.01,2335358
2017-02-21,158.5,162.19,158.04,161.93,2243214
2017-02-22,160.79,162.08,160.27,160.99,1145614
2017-02-23,161.66,162.02,160.93,161.63,857879
2017-02-24,161.45,161.61,158.94,161.54,969515
2017-02-27,161.11,163.16,160.58,162.61,1482126
2017-02-28,161.95,162.89,160.85,162.52,1666031
2017-03-01,163.85,166.85,163.79,164.64,2457825
2017-03-02,164.48,165.31,163.3,163.66,1250223
2017-03-03,163.54,164.08,162.81,163.69,1006423
2017-03-06,162.42,164.01,161.71,163.53,1491837
2017-03-07,163.04,164.63,162.95,163.7,1712871
2017-03-08,164.32,164.79,163.66,163.98,959210
2017-03-09,164.32,165.46,163.64,164.5,2028985
2017-03-10,164.99,165.91,163.71,164.73,976523
2017-03-13,164.51,165.8,163.98,165.56,1535992
2017-03-14,164.3,165.52,161.54,163.52,1292433
2017-03-15,164.32,169.07,163.52,167.49,1973741
2017-03-16,167.49,168.09,164.93,166.73,2013395
2017-03-17,167.08,167.44,165.38,166.58,1620706
2017-03-20,166.63,166.75,164.97,165.91,1281755
2017-03-21,166.54,166.81,164.5,165.31,1544926
2017-03-22,165.42,166.11,163.79,164.76,1322930
2017-03-23,164.76,165.26,163.2,163.72,1918520
2017-03-24,164.21,165.4,159.92,161.11,2221551
2017-03-27,158.89,160.71,157.08,160.56,2379720
2017-03-28,160.07,163.38,160.06,162.95,1338340
2017-03-29,162.72,164.1,162.35,163.33,1030215
2017-03-30,163.2,166.15,163.03,165.4,1066572
2017-03-31,164.91,165.29,163.28,163.72,1300821
2017-04-03,164.47,165.94,163.69,164.81,1504291
2017-04-04,164.95,165.76,163.2,164.03,867521
2017-04-05,164.58,165.17,162.91,163.1,1056311
2017-04-06,162.98,164.54,162.22,164.25,1012369
2017-04-07,163.75,165.23,163.43,164.58,1105734
2017-04-10,164.7,167.03,164.67,165.76,1066701
2017-04-11,165.26,165.9,164.06,165.75,1053456
2017-04-12,164.97,165.67,163.58,164.75,1086653
2017-04-13,164.27,164.72,163,163.34,1276998
2017-04-17,163.84,165.63,163.26,165.26,909979
2017-04-18,168.29,168.47,163.98,164.69,976179
2017-04-19,165.53,165.92,164.15,165.11,1080413
2017-04-20,165.25,167.73,164.67,166.38,1779445
2017-04-21,166.31,167.08,164.82,166.12,1237527
2017-04-24,167.58,168.18,166.48,166.72,1014482
2017-04-25,168.29,171.53,167.82,170.72,2223229
2017-04-26,172.37,178.2,172.25,177.23,3597265
2017-04-27,178.46,182.6,176.06,176.51,2648543
2017-04-28,174.65,177.34,174.06,176.1,1758835
2017-05-01,176.71,177.83,175.07,177.39,1216018
2017-05-02,177.87,179.53,176.44,179.45,1250256
2017-05-03,178.75,180.12,177.67,178.13,1310748
2017-05-04,178.86,179.63,177.27,178.08,990617
2017-05-05,179,179.68,177.4,178.49,1227325
2017-05-08,178.82,179.57,177.28,178.02,834838
2017-05-09,177.92,178.79,175.77,175.94,2245036
2017-05-10,176.13,178.48,175.73,178.32,1245613
2017-05-11,178.29,181.52,177.07,180.88,1800310
2017-05-12,179.45,181.94,178.91,179.62,1010623
2017-05-15,178.9,180.95,177.79,180.46,1376921
2017-05-16,180.35,180.72,177.76,178.99,1334691
2017-05-17,177.52,178.85,174.25,174.35,1958180
2017-05-18,174.33,176.71,173.41,174.91,1368330
2017-05-19,175.22,176.25,174.1,174.63,1919350
2017-05-22,175.12,175.26,173.2,174.72,1678334
2017-05-23,174.71,176.11,173.89,175.92,1727291
2017-05-24,176.44,179.41,175.43,178.27,1442490
2017-05-25,178.49,180.68,178.34,179.68,1440922
2017-05-26,180.1,181.29,178.78,181.24,907074
2017-05-30,179.88,183.14,179.03,181.47,1528488
2017-05-31,181.97,182.24,179.43,180.51,1825941
2017-06-01,180.95,186.11,180.84,185.8,1950452
2017-06-02,185.25,186.39,183.99,185.69,1242973
2017-06-05,185.47,185.99,184.14,184.81,938051
2017-06-06,184.61,187.27,184.19,185.76,1316589
2017-06-07,186.01,188.05,185.34,187.08,1589217
2017-06-08,186.86,187.75,185.4,186.35,1619709
2017-06-09,187.12,187.44,184.99,185.68,1893090
2017-06-12,185.98,186.07,181.89,185.5,1816298
2017-06-13,185.5,186.43,184.18,185.92,1115374
2017-06-14,186.27,187.83,185.92,187.52,782216
2017-06-15,186.04,188.14,185.87,187.5,797625
2017-06-16,188.11,189,187.22,188.7,1876677
2017-06-19,189.07,191.57,188.69,191.46,2005765
