Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,152.06,152.88,151,152.71,3521643
2017-01-04,153.52,154.91,153.52,154.32,3278728
2017-01-05,154.12,155.37,153.13,154.4,2872292
2017-01-06,154.66,155.33,153.6,154.78,2493934
2017-01-09,154.68,154.92,153.88,154.03,2917730
2017-01-10,154.64,155.61,154.27,154.75,3071616
2017-01-11,155.22,155.37,153.99,155.08,2483552
2017-01-12,154.83,154.84,152.42,154,3104492
2017-01-13,154.43,155.26,154.05,154.52,2503233
2017-01-17,153.91,154.72,152.97,153.4,2835654
2017-01-18,153.28,154.73,152.5,154.03,2145475
2017-01-19,154.56,155.54,153.62,154.68,3230541
2017-01-20,155.48,155.94,153.94,155.21,3436173
2017-01-23,154.62,155.18,153.03,153.55,4038774
2017-01-24,154.28,156.57,153.55,156.19,4034484
2017-01-25,159.15,164.08,158.82,162.81,7684756
2017-01-26,162.71,165.39,162.71,164.54,5588149
2017-01-27,164.63,165.19,162.49,163.15,5017327
2017-01-30,161.41,161.48,159.37,161.07,5608131
2017-01-31,160.49,160.63,158.8,159,5499015
2017-02-01,159.79,161.31,158.7,159.51,3172457
2017-02-02,158.8,159.51,156.46,157.86,3896855
2017-02-03,158.57,159.13,157.91,157.99,3064793
2017-02-06,158.01,159.62,157.98,159.52,3196174
2017-02-07,160.53,162.87,160.41,161.99,4361147
2017-02-08,161.91,162.14,160.63,160.75,3096279
2017-02-09,161.58,161.99,160.97,161.19,3516080
2017-02-10,162.15,163.33,161.38,163.11,2741024
2017-02-13,163.33,165.91,163.23,164.87,3836848
2017-02-14,164.56,165.64,164.09,165.34,2629595
2017-02-15,165.26,166.76,165.19,166.12,4110118
2017-02-16,166.46,167.6,165.59,167.6,3128626
2017-02-17,167.22,170,167.21,169.47,4999502
2017-02-21,170.66,172.86,170.42,172.27,4312291
2017-02-22,171.7,172.45,170.75,172.07,2885750
2017-02-23,172.66,173.69,172.41,173.55,3568134
2017-02-24,173.44,175.45,172.79,174.11,4277192
2017-02-27,174.66,176.51,174.22,176.06,2910455
2017-02-28,176.96,178.52,176.3,176.85,4876212
2017-03-01,178.44,181.34,178.41,180.46,5563717
2017-03-02,180.55,182.23,179.53,179.55,4999949
2017-03-03,179.6,180.14,178.04,178.77,4002551
2017-03-06,177.99,178.89,177.05,177.55,4322434
2017-03-07,177.26,179.41,177.24,178.61,2498806
2017-03-08,178.98,179.28,178.08,178.33,2365392
2017-03-09,178.02,179.17,176.21,177.19,3159473
2017-03-10,178.49,178.56,174.58,175.35,4532050
2017-03-13,173.84,175.83,173.75,175.7,3516391
2017-03-14,175.19,176.31,174.37,175.38,2391522
2017-03-15,175.65,175.88,174.63,175.36,3637064
2017-03-16,176.44,176.62,174.3,174.85,3159955
2017-03-17,174.97,177,174.83,176.72,5132458
2017-03-20,176.72,176.77,175.79,176.02,2101629
2017-03-21,176.61,176.87,172.21,172.65,3300261
2017-03-22,172.65,173.78,172.63,173.67,2553533
2017-03-23,174.01,174.51,173.28,173.93,2044734
2017-03-24,173.54,174.2,171.49,172.52,2432392
2017-03-27,171.1,173.13,170.49,172.79,2801443
2017-03-28,172.98,174.34,171.72,174.03,2458509
2017-03-29,174.07,174.65,173.66,174.29,1671956
2017-03-30,173.93,175.14,173.9,174.64,1724177
2017-03-31,174.68,174.84,173.5,173.55,2069804
2017-04-03,173.76,174.39,172.21,173.34,2989728
2017-04-04,173.57,175.44,173.45,175.35,2370756
2017-04-05,175.65,176.8,173.58,173.76,2454644
2017-04-06,174.23,174.88,173.8,174.04,2388547
2017-04-07,175.04,175.74,173.93,175.5,2860430
2017-04-10,175.65,176.59,174.15,174.23,2352520
2017-04-11,174.17,175.25,173.65,175.22,2309051
2017-04-12,174.91,174.91,172.63,172.74,2978102
2017-04-13,172.44,173.57,172.27,172.33,2061222
2017-04-17,172.54,175.73,172.54,175.67,2495628
2017-04-18,175.24,176.59,173.8,174.51,3013988
2017-04-19,175.12,176.52,174.82,175.05,2164018
2017-04-20,175.39,176.44,175,175.93,2379708
2017-04-21,176.05,177.55,176.05,177,3204367
2017-04-24,178.34,179.04,178.2,178.65,3201480
2017-04-25,179.11,180.4,179.11,180.07,3804371
2017-04-26,178.89,179.56,176.73,178.3,4556583
2017-04-27,179.17,180.31,179.17,179.78,3188728
2017-04-28,179.98,181.46,179.58,181.37,2222860
2017-05-01,180.78,181.02,178.39,178.97,3583772
2017-05-02,179.12,180.46,179.11,180,2011218
2017-05-03,180.01,180.3,178.84,179.95,3040263
2017-05-04,179.89,180.8,178.77,179.63,2333026
2017-05-05,179.72,181.59,179.72,181.53,2685200
2017-05-08,181.9,182.89,181.52,182.54,2000989
2017-05-09,182.62,183.69,182.57,183.4,3060886
2017-05-10,183.06,183.56,176.17,181.12,7136782
2017-05-11,180.85,182.26,180.12,181.87,2916452
