Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,375.71,378.95,373.42,377.47,761645
2017-01-04,375.74,378,374.27,377.7,696993
2017-01-05,376.05,377.74,371.27,373.68,479488
2017-01-06,374.67,376.53,372.58,375.39,464172
2017-01-09,375.44,376.49,371.2,371.6,517250
2017-01-10,372.93,373.42,369.77,371.49,463519
2017-01-11,370.87,373.61,368.35,372.12,971361
2017-01-12,370.82,371.06,363.58,369.52,795108
2017-01-13,369.91,377.98,367.24,370.56,635133
2017-01-17,368.35,368.35,364.68,366.1,662894
2017-01-18,367.45,369.28,364.72,369.24,520576
2017-01-19,368.92,370.9,367.39,368.6,466899
2017-01-20,370.49,372.78,370.04,372.55,676552
2017-01-23,372.5,372.5,367.32,369.3,515240
2017-01-24,371.29,374.5,369.76,372.53,629270
2017-01-25,376.05,379.81,374.99,379.33,611113
2017-01-26,373.69,379.28,369.64,370.63,856965
2017-01-27,371.63,372.52,364.26,366.35,703099
2017-01-30,366.11,366.82,362.1,366.47,605862
2017-01-31,366.02,366.56,363.57,365.31,731450
2017-02-01,366.5,369.34,362.27,364.36,634137
2017-02-02,357.97,363.82,357.35,363.02,852194
2017-02-03,363.37,369.86,362.95,369.24,976281
2017-02-06,365.88,370.04,365.88,368.67,559465
2017-02-07,368.88,370.21,367.79,368.14,560662
2017-02-08,366.37,367.54,365.13,365.89,444060
2017-02-09,367.75,371.1,366.97,369.79,505410
2017-02-10,371.37,375.04,371.04,374.02,592418
2017-02-13,375.82,378.3,374.46,376.89,464016
2017-02-14,376.86,377.55,374.37,376.05,766934
2017-02-15,376.35,384.59,376.35,383.93,655020
2017-02-16,383.53,384.56,380.89,382.88,515607
2017-02-17,380.72,381.63,379.01,379.75,620455
2017-02-21,381.88,383.73,379.97,381.06,442989
2017-02-22,380.02,381.89,378.8,381.65,432240
2017-02-23,382.39,382.68,379,381.56,396454
2017-02-24,379.03,380.13,376.78,380.13,493696
2017-02-27,380.52,382.29,379.22,381.94,377364
2017-02-28,380.02,382.01,377.95,378.48,799066
2017-03-01,385.11,389.92,383.69,388.59,810299
2017-03-02,388.43,388.66,384.76,384.99,483434
2017-03-03,385.37,386.24,382.8,383.54,346827
2017-03-06,381.13,382.32,379.2,381.07,372708
2017-03-07,380.48,381.06,377.67,378.8,366923
2017-03-08,381.38,382.41,377.84,378.01,423308
2017-03-09,378.77,380.38,375.44,377.74,400481
2017-03-10,380.74,381.39,377.36,378.03,491720
2017-03-13,379.06,379.56,376.59,378.34,390050
2017-03-14,376.67,379.53,374.85,376.77,359537
2017-03-15,378.85,382.36,377.57,381.62,441002
2017-03-16,382.49,385.45,380.66,383.37,544880
2017-03-17,384.57,384.57,376.11,376.33,683821
2017-03-20,375.63,375.94,372.43,373.99,443437
2017-03-21,376.48,376.6,367.73,368.78,621014
2017-03-22,367.23,369.81,365.68,369.09,349769
2017-03-23,368.12,372.88,368.12,369.02,425373
2017-03-24,370.36,371.53,365.91,368.03,323881
2017-03-27,362.98,368.67,361.74,368.62,623692
2017-03-28,367.43,375.39,367.26,374.15,602961
2017-03-29,372.08,374.44,371.17,372.95,469593
2017-03-30,371.67,377.6,371.67,376.52,492245
2017-03-31,376.07,379.67,375.08,376.99,442627
2017-04-03,377.31,378.65,371.73,375.6,510910
2017-04-04,374.74,375.39,372.62,374.32,414566
2017-04-05,376.96,380.21,373.73,374.43,475430
2017-04-06,374.76,378.89,373.78,377.57,336460
2017-04-07,375.23,382.68,375.23,379.46,560215
2017-04-10,379.52,382.41,377.61,379.33,397019
2017-04-11,377.16,377.98,373.09,377.52,449600
2017-04-12,376.41,378.2,373.92,374.95,384460
2017-04-13,372.42,378,371.58,372.55,373022
2017-04-17,374.69,377.57,373.34,377.28,434076
2017-04-18,375.1,377.7,373.26,377.09,507150
2017-04-19,378.58,379.29,369.13,370.69,699394
2017-04-20,371.92,376.32,369.29,375.1,738313
2017-04-21,373.23,374.89,370.39,371.63,502389
2017-04-24,379.37,382.49,377.59,380.07,601132
2017-04-25,382.22,382.22,378.81,381.59,554488
2017-04-26,381.85,385.24,380.52,382.25,473370
2017-04-27,383.53,384.39,378.95,384.06,378181
2017-04-28,383.37,384.7,377.76,378.02,591336
2017-05-01,380.61,380.61,376.48,376.48,594093
2017-05-02,377.05,378.34,375.81,377.96,384846
2017-05-03,377.54,378.99,376.49,377.76,380831
2017-05-04,379.83,379.83,374.81,376.79,468298
2017-05-05,376.25,377.29,374.91,377.24,545587
2017-05-08,378.09,378.41,374.29,375.88,342766
2017-05-09,375.82,377.34,373.19,374.03,481225
2017-05-10,374.11,375.97,371.42,375.77,410922
2017-05-11,373.94,376.83,372.12,376.35,462208
2017-05-12,375.25,378.65,374.7,378.57,465127
2017-05-15,380.02,384.79,378.81,382.74,565678
2017-05-16,383.13,385.61,381.12,384.64,603383
2017-05-17,379.94,382.59,375.15,377.15,874265
2017-05-18,376.12,386.14,375.34,381.88,1028771
2017-05-19,382.89,388.25,381.95,386.63,694037
2017-05-22,388.96,392.21,387.87,389.54,675394
2017-05-23,389.6,391.53,388.45,389.24,738785
2017-05-24,390.21,390.21,386.31,389.57,503011
2017-05-25,392.78,400.99,390.92,399.45,986413
2017-05-26,397.37,400.82,396.26,400.09,750194
2017-05-30,397.95,401.6,397.86,399.9,759439
2017-05-31,401.06,402.61,399.19,402.28,932194
2017-06-01,403.81,409.55,403.32,408.85,1338814
2017-06-02,407.29,411.96,405.74,410.16,888786
2017-06-05,410.18,413.13,409.37,409.68,429401
2017-06-06,406.8,411.99,406.54,409.29,675316
2017-06-07,410.91,411.29,408.74,409.26,590810
2017-06-08,409.36,413.05,409.08,410.68,689019
2017-06-09,412,414.44,410.81,413.91,686759
2017-06-12,413.17,415.4,411.19,413.73,792892
2017-06-13,414.71,416.63,412.29,414.71,377964
2017-06-14,413.29,416.99,412.2,416.87,525032
2017-06-15,414.2,417.98,412.88,417.74,481020
2017-06-16,418.58,418.83,415.09,415.9,1190698
2017-06-19,418.6,423.78,417.34,423.69,579399
2017-06-20,421.83,422.97,419.89,420.03,492915
2017-06-21,421.11,421.36,415.74,416.12,586966
2017-06-22,415.69,420.08,414.85,418.53,362376
2017-06-23,419.7,421.46,415.66,417,820765
2017-06-26,418.95,421.55,417.63,420.03,393965
2017-06-27,421.2,421.83,417.2,417.5,421513
2017-06-28,421.65,422.5,417.98,422.17,395738
2017-06-29,425.19,426.11,416.43,418.6,757153
2017-06-30,421.13,422.19,417.65,417.78,507562
2017-07-03,421.25,426.18,420.38,424.11,384102
2017-07-05,424.11,425.21,421.59,424.06,449472
2017-07-06,422.31,423.88,420.28,420.53,339880
2017-07-07,422.86,428.29,421.28,427.64,383399
2017-07-10,426.98,434.03,426.5,431.46,522781
2017-07-11,431.95,432.22,424.96,427.18,512992
2017-07-12,428.75,431.74,427.4,430.52,473806
2017-07-13,431.87,433.77,430.37,433.08,482905
2017-07-14,431.65,437.98,430.5,433.54,774683
2017-07-17,423.31,427.03,418.24,419.97,1260653
2017-07-18,417.3,422.46,415.6,422.2,857468
2017-07-19,424.33,424.87,420.1,421.79,523301
2017-07-20,421.89,422.91,420.36,422.59,400632
2017-07-21,421.33,424.84,420.78,423.95,445225
2017-07-24,422.93,424.37,422.66,423.63,376477
2017-07-25,427.27,429.24,425.43,426.62,536763
2017-07-26,427.7,430.75,426.53,427.96,747417
2017-07-27,429.68,430.57,417.34,420.84,542408
2017-07-28,420.34,421.42,417.28,419.35,450171
2017-07-31,421.81,423.3,419.99,421.86,591859
2017-08-01,424.96,427.06,422.63,425.27,445633
2017-08-02,423.87,425.23,419.7,420.88,399232
2017-08-03,419.7,422.41,419.35,421.34,446900
2017-08-04,423.91,424.44,421.32,421.84,417185
2017-08-07,422.35,424.05,421.35,423.18,281817
2017-08-08,423.11,427.19,422.33,424.11,402114
2017-08-09,421.64,426.84,420.6,426.61,354900
2017-08-10,424.16,425.34,417.75,418.05,493565
2017-08-11,417.52,423.54,417.51,419.51,816006
2017-08-14,423.1,425.04,421.58,423.37,459005
2017-08-15,425.17,426.39,422.26,423.56,376958
2017-08-16,427.01,427.04,421.85,422.38,329765
2017-08-17,422.23,423.64,415.1,415.34,440071
2017-08-18,412.63,415.16,409.84,411.98,1021723
2017-08-21,411.8,411.8,407.29,410.81,503026
2017-08-22,412,417.65,412,416.75,360542
2017-08-23,413.83,415.65,411.85,413.49,391757
2017-08-24,414.77,415.36,411.18,411.38,311913
2017-08-25,412.85,415.19,411.66,411.81,471872
2017-08-28,412.75,414.17,409.17,409.8,503302
2017-08-29,405.99,410.95,404.14,409.59,510185
2017-08-30,410.21,413.36,409.38,411.64,409293
2017-08-31,413.64,418.18,413.47,416.92,504748
2017-09-01,420.24,422.16,418.53,419.68,444176
