Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-08-01,245.59,247.34,244.33,245.75,1759133
2017-08-02,251.89,254.54,248.38,250.67,3734896
2017-08-03,250.12,250.31,244.6,247.63,2369836
2017-08-04,247.42,248.3,245.48,246.53,1359829
2017-08-07,246.73,250.2,246.26,249.74,1893065
2017-08-08,249.3,251.58,247.76,248.69,2065584
2017-08-09,246.87,247.7,244.89,246.53,2148376
2017-08-10,244.04,244.37,237.9,238.15,2933064
2017-08-11,237.5,242.63,236.16,241.58,1715845
2017-08-14,244.24,248.58,243.39,248.24,1691652
2017-08-15,249.52,251.36,248.6,251,2116485
2017-08-16,251.61,252.03,249.13,250.73,1555908
2017-08-17,250.31,251.54,244.03,244.32,2273382
2017-08-18,244.7,248.81,243.52,246.71,2034468
2017-08-21,249.21,249.21,243.57,246.96,2088491
2017-08-22,249.15,253.47,248.33,252.48,2717515
2017-08-23,251.22,256.16,250.7,254.18,2818958
2017-08-24,255.92,256.6,248.43,252.34,5249620
2017-08-25,249.57,251.69,241.19,242.98,6982562
2017-08-28,244.41,245.01,239.92,240.66,3444169
2017-08-29,238.73,241.98,237.48,239.16,3387085
2017-08-30,239,243.72,238.32,243.41,2215498
2017-08-31,244,249.84,242.94,249.39,2980420
2017-09-01,249.65,252.63,249.62,250.04,2349195
2017-09-05,247.46,250.04,244.39,246.41,2456969
2017-09-06,247.95,248.64,245.07,246.72,1413037
2017-09-07,247.13,247.34,243.52,243.93,1625246
2017-09-08,243.31,243.77,240.52,241.52,1829386
2017-09-11,244.45,245.6,243.4,245.11,1704770
2017-09-12,247,247.08,242.89,244.51,1860584
2017-09-13,243.21,245.27,242.54,243.62,2997548
2017-09-14,242.02,244.88,240.65,244.32,2894929
2017-09-15,245,248.52,242.5,247.89,5059960
2017-09-18,249.4,251.16,246.97,248.07,2591291
2017-09-19,249.52,250.19,246.69,248.12,2208052
2017-09-20,248.1,248.23,236.29,241.31,5737081
2017-09-21,240.86,241.1,236.61,238.8,2878889
2017-09-22,236.77,239.16,236.55,237.66,2324703
2017-09-25,235.63,236.24,230.01,233.96,3894163
2017-09-26,236.31,238.37,233.76,235.71,3926712
