Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,48.369,49.123,48.173,48.475,5530840
2017-01-04,49.074,49.898,48.975,49.672,8059766
2017-01-05,49.388,49.658,48.495,48.721,5925222
2017-01-06,48.78,49.279,48.221,48.673,7062761
2017-01-09,48.457,49.153,48.419,48.683,5441243
2017-01-10,48.918,50.308,48.849,49.898,8606802
2017-01-11,50.417,50.69,49.623,50.397,10179275
2017-01-12,50.259,50.944,48.663,49.858,14578226
2017-01-13,49.76,50.593,49.75,50.19,7533245
2017-01-17,49.955,50.18,49.173,49.309,7630938
2017-01-18,49.123,49.769,48.775,49.279,7222094
2017-01-19,49.26,49.475,48.614,48.692,7156246
2017-01-20,48.76,49.515,48.701,49.475,7879297
2017-01-23,49.26,49.408,47.781,47.781,8925628
2017-01-24,47.919,48.75,47.829,48.437,6530520
2017-01-25,48.975,49.407,48.799,49.173,8263936
2017-01-26,49.662,50.494,49.534,49.868,9088958
2017-01-27,49.965,50.084,48.565,48.692,6991698
2017-01-30,47.958,47.958,46.575,46.703,12990434
2017-01-31,46.821,46.86,45.625,46.282,12778833
2017-02-01,46.517,46.801,46.085,46.301,8547454
2017-02-02,45.645,46.694,45.537,46.419,8977652
2017-02-03,46.555,47.025,46.449,46.84,5748927
2017-02-06,47.207,47.693,46.958,47.281,7311973
2017-02-07,47.458,47.943,47.105,47.174,7426277
2017-02-08,47.281,47.32,46.766,47.125,5452030
2017-02-09,47.281,48.545,47.154,48.329,7422296
2017-02-10,48.545,48.562,48.025,48.261,5410504
2017-02-13,48.369,49.398,48.28,49.045,6695226
2017-02-14,48.809,48.97,48.1,48.849,7165216
2017-02-15,49.917,50.907,49.505,50.133,12966025
2017-02-16,50.123,50.133,49.559,49.799,6757547
2017-02-17,49.564,50.19,49.173,50.19,5533466
2017-02-21,50.259,50.484,49.935,50.171,6537034
2017-02-22,50.163,50.302,49.653,50.095,4411497
2017-02-23,50.282,50.645,49.368,49.653,6578224
2017-02-24,49.554,49.691,49.062,49.633,8290062
2017-02-27,49.505,49.633,49.013,49.613,7700438
2017-02-28,49.672,49.77,49.043,49.112,7064484
2017-03-01,49.584,51.015,49.525,50.193,14368329
