Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,22.127,22.191,21.559,21.721,3528506
2017-01-04,21.758,22.127,21.664,22.028,2137327
2017-01-05,22.317,22.353,21.982,22.155,1650791
2017-01-06,22.181,22.786,22.118,22.659,2027284
2017-01-09,22.562,22.642,22.087,22.127,4800571
2017-01-10,22.137,22.143,21.522,21.522,2448773
2017-01-11,21.532,21.929,21.505,21.893,1706480
2017-01-12,22.118,22.118,21.64,21.812,1388869
2017-01-13,21.848,22.102,21.703,21.883,3225122
2017-01-17,21.982,22.38,21.903,22.236,4230781
2017-01-18,22.173,22.191,21.532,21.605,2426194
2017-01-19,21.668,21.757,21.441,21.522,1512200
2017-01-20,21.703,21.793,21.518,21.622,1291039
2017-01-23,21.64,21.786,21.392,21.631,2169124
2017-01-24,21.838,22.633,21.838,22.444,4366489
2017-01-25,22.651,23.332,22.353,23.3,4231799
2017-01-26,23.608,23.888,23.373,23.608,5977820
2017-01-27,23.689,23.726,22.976,23.527,4003508
2017-01-30,23.436,23.444,22.822,23.057,3091299
2017-01-31,22.913,23.093,22.768,23.03,2032321
2017-02-01,23.444,23.698,23.174,23.588,3722530
2017-02-02,23.734,23.788,23.408,23.778,2430788
2017-02-03,24.193,24.424,23.963,24.414,3215367
2017-02-06,24.34,24.46,24.193,24.451,2820735
2017-02-07,24.294,24.608,24.083,24.589,3275478
2017-02-08,24.469,24.488,23.981,24.092,1894190
2017-02-09,24.248,24.277,23.829,23.871,2459291
2017-02-10,24.083,24.105,23.434,23.594,3688746
2017-02-13,23.798,23.834,23.425,23.807,4677935
2017-02-14,23.816,24.524,23.816,24.497,7293203
2017-02-15,24.552,24.571,24.092,24.1,4693545
2017-02-16,24.313,24.313,23.646,23.761,2603739
2017-02-17,23.687,23.724,23.494,23.668,936952
2017-02-21,23.935,24.092,23.788,24.027,1329884
2017-02-22,24,24.027,23.494,23.494,1664631
2017-02-23,23.871,23.908,23.071,23.42,3201124
2017-02-24,23.255,23.484,23.097,23.263,2211880
2017-02-27,23.604,23.604,23.171,23.227,1924148
2017-02-28,23.181,23.54,23.061,23.318,2939881
2017-03-01,23.614,23.714,23.365,23.494,2459516
2017-03-02,23.41,23.641,23.291,23.54,2127445
2017-03-03,23.631,23.807,23.475,23.678,1736721
2017-03-06,23.678,23.751,23.41,23.734,1391002
2017-03-07,23.668,23.687,23.383,23.623,751598
2017-03-08,23.512,23.631,22.923,22.959,1811089
2017-03-09,22.84,22.858,22.131,22.435,2509240
2017-03-10,22.692,22.692,22.205,22.278,1551918
2017-03-13,22.278,22.555,22.223,22.518,1532853
2017-03-14,22.315,22.38,21.919,22.122,1465171
2017-03-15,22.315,22.452,22.039,22.333,3035550
2017-03-16,22.508,22.527,22.241,22.306,1281113
2017-03-17,22.297,22.333,21.919,21.946,3082707
2017-03-20,21.939,21.939,21.615,21.717,1880563
2017-03-21,21.745,21.873,21.082,21.312,2502495
2017-03-22,21.276,21.708,21.119,21.634,1610740
2017-03-23,21.662,22.288,21.615,21.855,1774137
2017-03-24,22.002,22.278,21.873,22.103,1510327
2017-03-27,21.929,21.939,21.68,21.864,2495431
2017-03-28,21.919,22.14,21.841,21.864,1646930
2017-03-29,22.029,22.38,21.827,22.269,1844494
2017-03-30,22.435,22.452,21.919,21.983,1835883
2017-03-31,21.929,22.55,21.837,22.481,2023536
2017-04-03,22.674,22.674,22.089,22.38,2330832
2017-04-04,22.408,22.449,22.131,22.315,1486590
2017-04-05,22.536,22.748,22.306,22.333,2811950
2017-04-06,22.462,22.702,22.371,22.545,2797249
2017-04-07,22.628,22.684,22.398,22.445,2228601
2017-04-10,22.536,22.536,22.186,22.205,1965435
2017-04-11,22.214,22.269,21.979,22.02,1787344
2017-04-12,22.168,22.168,21.749,21.975,2873425
2017-04-13,22.086,22.251,21.782,21.909,3090366
2017-04-17,21.864,21.929,21.597,21.762,3541066
2017-04-18,21.662,21.772,21.579,21.615,1919030
2017-04-19,21.708,21.809,21.57,21.662,2841317
2017-04-20,21.754,21.902,21.634,21.717,5351286
2017-04-21,21.745,21.762,21.56,21.68,2959944
2017-04-24,21.846,21.939,21.588,21.827,3570262
2017-04-25,21.882,22.417,21.708,22.417,6439250
2017-04-26,22.325,22.398,22.113,22.343,6007301
2017-04-27,22.306,22.352,21.625,22.122,26937710
2017-04-28,22.306,22.329,21.836,22.039,7642281
2017-05-01,22.223,22.417,21.201,21.56,4377942
2017-05-02,21.68,21.966,21.45,21.809,6595468
2017-05-03,21.754,21.772,21.183,21.247,6205353
2017-05-04,21.201,21.266,19.848,20.63,10676191
2017-05-05,20.63,21.072,20.354,20.907,10553619
2017-05-08,21.062,21.336,21.006,21.242,5201549
2017-05-09,21.534,21.986,20.912,21.242,5931816
2017-05-10,21.298,22.099,21.283,21.986,15255902
2017-05-11,21.967,22.089,21.572,21.58,8636163
2017-05-12,21.769,21.835,21.548,21.694,3950435
2017-05-15,22.232,22.26,21.873,21.882,7867516
2017-05-16,21.882,22.024,21.826,21.948,3069099
2017-05-17,21.93,22.014,21.515,21.552,3065066
2017-05-18,21.392,21.638,21.175,21.609,5048473
2017-05-19,21.638,21.977,21.524,21.684,2777304
2017-05-22,21.789,22.147,21.759,22.081,4547191
2017-05-23,22.089,22.363,22.024,22.306,3338448
2017-05-24,22.184,22.354,21.958,22.081,2860620
2017-05-25,22.043,22.184,21.6,21.789,3564317
2017-05-26,21.731,21.779,21.421,21.505,2972838
2017-05-30,21.336,21.401,20.741,20.779,6441617
2017-05-31,20.741,20.864,20.223,20.515,8011425
2017-06-01,20.525,21.02,20.515,20.695,3905599
2017-06-02,20.657,20.713,20.365,20.411,2360399
2017-06-05,20.365,20.638,20.365,20.497,4740503
2017-06-06,20.431,20.695,20.421,20.534,3074680
2017-06-07,20.459,20.855,19.959,19.968,6027317
