Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,11.554,11.932,11.487,11.922,42752702
2017-01-04,12.093,12.567,12.064,12.472,81887759
2017-01-05,12.509,12.519,11.96,12.093,79838117
2017-01-06,12.12,12.159,11.97,12.084,42548614
2017-01-09,12.113,12.179,11.96,11.96,41458443
2017-01-10,12.028,12.33,11.988,12.169,61905087
2017-01-11,12.037,12.045,11.847,11.998,52420264
2017-01-12,11.988,12.008,11.695,11.922,38523231
2017-01-13,11.952,11.998,11.837,11.96,30672505
2017-01-17,11.978,12.054,11.876,11.942,51764202
2017-01-18,11.96,11.979,11.835,11.942,35146098
2017-01-19,11.932,12.086,11.875,11.96,31305483
2017-01-20,11.979,12.009,11.845,11.893,30183075
2017-01-23,11.883,11.912,11.759,11.845,32899304
2017-01-24,11.883,12.133,11.87,12.133,35954496
2017-01-25,12.23,12.317,12.163,12.307,48502058
2017-01-26,12.173,12.201,11.883,11.903,57751892
2017-01-27,12.009,12.066,11.912,12.019,35905924
2017-01-30,11.989,11.989,11.816,11.903,40789741
2017-01-31,11.845,11.922,11.729,11.893,48800823
2017-02-01,11.979,12.106,11.759,11.855,46130361
2017-02-02,11.835,11.903,11.768,11.816,30162100
2017-02-03,11.952,12.143,11.922,12.086,39736596
2017-02-06,12.076,12.138,11.989,12.047,27965586
2017-02-07,12.029,12.047,11.845,11.875,34247394
2017-02-08,11.875,11.979,11.806,11.912,27429498
2017-02-09,11.932,11.999,11.883,11.912,34213544
2017-02-10,11.97,12.038,11.903,12.038,34250541
2017-02-13,12.066,12.143,12.009,12.086,25416241
2017-02-14,12.163,12.22,12.115,12.173,29459549
2017-02-15,12.143,12.163,12.076,12.153,26093327
2017-02-16,12.133,12.163,12.009,12.066,23776706
2017-02-17,12.029,12.106,11.952,12.106,27437642
2017-02-21,12.133,12.24,12.133,12.21,30296637
2017-02-22,12.183,12.282,12.173,12.192,25747956
2017-02-23,12.22,12.235,12.076,12.086,23348183
2017-02-24,12.038,12.038,11.912,11.999,42417287
2017-02-27,12.019,12.201,11.96,12.183,43303919
2017-02-28,12.153,12.182,11.979,12.056,37498415
2017-03-01,12.183,12.268,12.173,12.21,37592473
2017-03-02,12.24,12.265,12.106,12.183,34518337
2017-03-03,12.183,12.23,12.056,12.173,31649638
2017-03-06,12.106,12.123,12.029,12.047,29843595
2017-03-07,12.038,12.051,11.952,11.989,26890076
2017-03-08,12.029,12.163,11.989,12.056,28392097
2017-03-09,12.066,12.066,11.932,12.029,30287033
2017-03-10,12.076,12.153,11.999,12.056,36101271
2017-03-13,12.086,12.153,12.029,12.066,23501234
2017-03-14,12.038,12.086,11.979,12.076,28006009
2017-03-15,12.086,12.173,12.047,12.173,35624728
2017-03-16,12.173,12.24,12.115,12.22,30084606
2017-03-17,12.26,12.26,11.979,12.009,57073323
2017-03-20,12.009,12.019,11.788,11.816,47090670
2017-03-21,11.835,11.855,11.258,11.277,105527106
2017-03-22,11.335,11.384,11.181,11.325,73890803
2017-03-23,11.133,11.307,11.066,11.23,73999218
2017-03-24,11.22,11.321,11.114,11.181,45487439
2017-03-27,11.075,11.114,10.979,11.028,59945182
2017-03-28,11.075,11.354,11.046,11.21,59875202
2017-03-29,11.287,11.316,11.2,11.239,37184157
2017-03-30,11.23,11.297,11.172,11.239,29087579
2017-03-31,11.22,11.239,11.162,11.2,27694805
2017-04-03,11.2,11.2,10.854,11.008,68240644
2017-04-04,10.951,11.046,10.854,10.941,41626811
2017-04-05,11.046,11.061,10.825,10.834,44950641
2017-04-06,10.844,10.931,10.797,10.844,37576118
2017-04-07,10.834,10.883,10.787,10.806,30006680
2017-04-10,10.834,10.921,10.816,10.825,26861273
2017-04-11,10.844,10.854,10.748,10.854,37788185
2017-04-12,10.844,10.869,10.777,10.806,58768196
2017-04-13,10.797,10.825,10.69,10.69,33993759
2017-04-17,10.797,10.874,10.72,10.854,45910102
2017-04-18,10.874,10.903,10.806,10.864,36555613
2017-04-19,10.912,11,10.893,10.912,38465120
2017-04-20,10.971,11.215,10.961,11.186,51247991
2017-04-21,11.176,11.195,11.039,11.059,26668273
2017-04-24,11.195,11.215,11.078,11.147,38950800
2017-04-25,11.186,11.215,11.147,11.195,36766867
2017-04-26,11.186,11.41,11.166,11.313,52992532
2017-04-27,11.371,11.391,11.059,11.186,51407977
2017-04-28,11.225,11.225,11.117,11.186,42466135
2017-05-01,11.205,11.254,11.117,11.137,32925588
2017-05-02,11.02,11.088,10.63,10.65,96941662
2017-05-03,10.65,10.815,10.64,10.796,58729888
2017-05-04,10.815,10.834,10.688,10.728,35430728
2017-05-05,10.737,10.883,10.708,10.864,29659224
2017-05-08,10.903,10.961,10.815,10.854,36346852
2017-05-09,10.864,10.976,10.825,10.883,45254036
2017-05-10,10.883,10.922,10.756,10.766,35867839
2017-05-11,10.766,10.796,10.698,10.737,29978636
2017-05-12,10.728,10.756,10.63,10.65,35116838
2017-05-15,10.688,10.756,10.65,10.669,27997515
2017-05-16,10.786,10.796,10.63,10.669,43162531
2017-05-17,10.61,10.678,10.406,10.494,56019361
2017-05-18,10.464,10.552,10.434,10.522,38853384
2017-05-19,10.542,10.669,10.522,10.6,33172787
2017-05-22,10.834,10.854,10.708,10.825,75058438
2017-05-23,10.883,10.888,10.698,10.776,41840064
2017-05-24,10.786,10.786,10.6,10.688,47873589
2017-05-25,10.688,10.698,10.494,10.59,47389648
2017-05-26,10.581,10.673,10.542,10.659,28841509
2017-05-30,10.728,10.844,10.718,10.806,36956488
2017-05-31,10.844,10.854,10.728,10.844,37377421
2017-06-01,10.971,11.254,10.825,11.127,78637091
2017-06-02,11.137,11.147,10.961,11.069,47081089
2017-06-05,11.078,11.078,10.947,10.971,43576085
2017-06-06,10.912,10.922,10.776,10.844,45670644
2017-06-07,10.883,10.912,10.747,10.796,38291184
2017-06-08,10.669,10.825,10.64,10.825,41723251
2017-06-09,10.815,10.874,10.737,10.854,31042866
2017-06-12,10.854,11.078,10.854,11,39448983
2017-06-13,11.035,11.069,10.874,10.991,30646876
2017-06-14,11,11.01,10.786,10.942,45488213
2017-06-15,10.874,11.01,10.864,10.961,29149911
2017-06-16,10.961,10.961,10.796,10.942,52770957
2017-06-19,10.922,11,10.903,10.961,31286515
2017-06-20,10.932,10.942,10.815,10.844,32776721
2017-06-21,10.874,10.874,10.728,10.766,37938951
2017-06-22,10.747,10.903,10.728,10.854,27651571
2017-06-23,10.825,10.854,10.728,10.766,46337344
2017-06-26,10.786,10.922,10.781,10.903,32108545
2017-06-27,10.893,10.922,10.786,10.806,29198902
2017-06-28,10.834,10.893,10.796,10.815,32625947
2017-06-29,10.854,10.922,10.796,10.893,33750380
2017-06-30,10.903,11,10.883,10.912,42112903
2017-07-03,11.078,11.395,10.971,11.273,45066749
2017-07-05,11.225,11.273,10.981,11.02,40401024
2017-07-06,11.01,11.078,10.893,10.903,32744697
2017-07-07,10.932,11,10.883,10.981,21042888
2017-07-10,10.961,11.069,10.952,11.059,19348644
2017-07-11,11.03,11.147,11.02,11.098,26571945
2017-07-12,11.127,11.332,11.117,11.186,33925459
2017-07-13,11.176,11.4,11.166,11.313,34490365
2017-07-14,11.356,11.439,11.313,11.391,40802144
2017-07-17,11.42,11.459,11.361,11.449,25001705
2017-07-18,11.429,11.459,11.381,11.459,25248720
2017-07-19,11.469,11.537,11.449,11.537,26873982
2017-07-20,11.547,11.636,11.517,11.557,30284772
2017-07-21,11.448,11.477,11.319,11.389,27966686
2017-07-24,11.369,11.408,11.132,11.152,48696153
2017-07-25,11.161,11.235,11.082,11.132,53466054
2017-07-26,11.003,11.023,10.816,10.924,73085264
2017-07-27,10.944,11.063,10.895,11.043,39138351
2017-07-28,11.013,11.082,10.924,11.033,24835604
2017-07-31,11.023,11.092,10.989,11.082,40028442
2017-08-01,10.974,11.013,10.737,10.816,65893737
2017-08-02,10.845,10.89,10.796,10.865,31249156
2017-08-03,10.875,10.914,10.786,10.796,20551296
2017-08-04,10.766,10.855,10.648,10.816,29621949
2017-08-07,10.806,10.845,10.766,10.786,35445682
2017-08-08,10.816,10.865,10.747,10.756,26410016
2017-08-09,10.747,10.816,10.697,10.786,32536285
2017-08-10,10.747,10.776,10.638,10.638,32259465
2017-08-11,10.658,10.707,10.628,10.638,32698086
2017-08-14,10.687,10.816,10.658,10.776,26720831
2017-08-15,10.786,10.865,10.702,10.707,29582713
2017-08-16,10.727,10.766,10.648,10.668,28635412
2017-08-17,10.658,10.668,10.47,10.51,35682124
2017-08-18,10.49,10.5,10.342,10.43,44533518
2017-08-21,10.401,10.524,10.391,10.44,30485046
2017-08-22,10.48,10.598,10.48,10.519,28969506
2017-08-23,10.48,10.648,10.46,10.579,35836735
2017-08-24,10.618,10.668,10.559,10.579,33969834
2017-08-25,10.638,10.747,10.628,10.687,36228876
2017-08-28,10.727,10.747,10.598,10.658,22512586
2017-08-29,10.618,10.756,10.598,10.707,30141155
2017-08-30,10.687,10.806,10.638,10.806,23819656
2017-08-31,10.835,11.063,10.816,10.895,54745895
2017-09-01,11.043,11.29,11.003,11.211,65305472
2017-09-05,11.221,11.25,11.102,11.221,44686215
2017-09-06,11.25,11.389,11.249,11.359,43805469
2017-09-07,11.379,11.379,11.191,11.26,30636463
2017-09-08,11.201,11.25,11.152,11.221,26957625
2017-09-11,11.26,11.31,11.24,11.27,43851157
2017-09-12,11.29,11.527,11.25,11.448,41837461
2017-09-13,11.458,11.487,11.379,11.477,23473741
2017-09-14,11.458,11.537,11.339,11.418,32009195
