Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,9.593,9.603,9.4237,9.513,8842543
2017-01-04,9.4436,9.653,9.4337,9.643,7716078
2017-01-05,9.782,9.872,9.718,9.772,6931583
2017-01-06,10.211,10.51,10.171,10.38,17857156
2017-01-09,10.529,10.629,10.38,10.529,9398958
2017-01-10,10.5,10.818,10.48,10.769,13590605
2017-01-11,10.759,11.067,10.704,11.047,12502721
2017-01-12,11.257,11.277,9.085,9.912,96168122
2017-01-13,9.693,9.792,9.4636,9.693,32509766
2017-01-17,9.583,9.608,9.4237,9.4536,10993536
2017-01-18,9.4536,9.842,9.4337,9.633,10578541
2017-01-19,9.842,9.962,9.817,9.902,12286981
2017-01-20,10.051,10.081,9.932,9.972,7936334
2017-01-23,10.191,10.251,10.131,10.241,11844470
2017-01-24,10.669,10.948,10.649,10.838,16187068
2017-01-25,11.067,11.106,10.769,10.938,13857164
2017-01-26,11.038,11.087,10.779,11.018,13055399
2017-01-27,11.147,11.157,10.993,11.038,5893438
2017-01-30,10.848,10.868,10.659,10.769,7009019
2017-01-31,10.978,10.993,10.719,10.948,7160352
2017-02-01,10.998,11.038,10.759,10.938,9195724
2017-02-02,10.888,10.948,10.818,10.858,23876790
2017-02-03,10.968,11.008,10.868,10.988,7184411
2017-02-06,10.759,10.848,10.559,10.729,9241423
2017-02-07,10.43,10.46,10.146,10.231,16720115
2017-02-08,10.34,10.609,10.28,10.549,13956556
2017-02-09,10.559,10.868,10.559,10.769,6827890
2017-02-10,10.699,10.828,10.699,10.709,11270504
2017-02-13,10.918,10.978,10.878,10.898,16534516
2017-02-14,11.257,11.446,11.237,11.376,20846170
2017-02-15,11.326,11.585,11.317,11.476,7172034
2017-02-16,11.506,11.565,11.416,11.506,4396477
2017-02-17,11.187,11.336,11.167,11.306,9262960
2017-02-21,11.396,11.471,11.316,11.386,4663036
2017-02-22,11.267,11.396,11.267,11.336,4625810
2017-02-23,11.267,11.287,10.948,11.008,9997175
2017-02-24,10.709,10.788,10.639,10.749,5271363
2017-02-27,10.908,11.057,10.868,11.028,3965865
2017-02-28,11.008,11.033,10.858,10.928,3787071
2017-03-01,10.988,11.112,10.958,10.998,5642495
2017-03-02,10.988,11.042,10.928,10.938,3492777
2017-03-03,11.087,11.217,10.988,11.177,5077708
2017-03-06,11.117,11.122,10.948,10.998,2897335
2017-03-07,11.008,11.018,10.898,10.908,2203127
2017-03-08,11.047,11.057,10.928,10.938,2527913
2017-03-09,10.888,10.928,10.783,10.848,5872423
2017-03-10,10.848,10.903,10.769,10.868,6648527
2017-03-13,10.938,11.107,10.928,11.067,3402431
2017-03-14,11.247,11.257,10.988,11.018,12106603
2017-03-15,11.107,11.366,11.087,11.277,9477018
2017-03-16,11.516,11.536,11.406,11.536,5718942
2017-03-17,11.476,11.516,11.416,11.426,5088142
2017-03-20,11.366,11.376,11.207,11.257,6012449
2017-03-21,11.336,11.346,10.649,10.659,14331353
2017-03-22,10.788,10.938,10.729,10.928,9467517
2017-03-23,10.619,10.769,10.554,10.749,8394762
2017-03-24,10.709,10.828,10.689,10.769,5182791
2017-03-27,10.699,10.878,10.649,10.868,4433527
2017-03-28,10.918,11.146,10.868,11.087,7968503
2017-03-29,11.008,11.087,10.988,11.028,3468598
2017-03-30,10.918,11.008,10.898,10.938,15579321
2017-03-31,10.928,10.958,10.868,10.888,17248623
2017-04-03,10.898,10.898,10.231,10.37,15753199
2017-04-04,10.241,10.4,10.151,10.35,5895829
2017-04-05,10.36,10.39,10.071,10.071,5954263
2017-04-06,10.26,10.31,10.201,10.231,6023912
2017-04-07,10.191,10.221,10.071,10.081,6743532
2017-04-10,10.081,10.156,10.011,10.051,4036852
2017-04-11,10.231,10.26,10.021,10.151,6176374
2017-04-12,10.081,10.098,9.972,10.011,3850912
2017-04-13,9.772,9.822,9.623,9.663,5451067
2017-04-17,9.683,9.772,9.663,9.742,3405891
2017-04-18,9.633,9.713,9.563,9.703,5150308
2017-04-19,9.932,10.041,9.922,9.932,7610083
2017-04-20,10.101,10.29,10.101,10.181,8237372
2017-04-21,10.041,10.081,9.972,10.051,5331000
2017-04-24,10.45,10.539,10.42,10.519,7058837
2017-04-25,10.569,10.609,10.49,10.5,6471288
2017-04-26,11.177,11.605,11.117,11.605,23817543
2017-04-27,11.336,11.356,11.13,11.227,9336315
2017-04-28,11.297,11.366,11.252,11.326,7184083
2017-05-01,11.346,11.456,11.301,11.366,4082483
2017-05-02,11.057,11.077,10.724,10.878,9896355
2017-05-03,10.818,10.988,10.783,10.978,7054154
2017-05-04,11.157,11.202,11.097,11.157,4509255
2017-05-05,11.207,11.336,11.197,11.326,3574288
2017-05-08,11.038,11.157,11.028,11.157,5218065
2017-05-09,11.018,11.102,10.958,10.958,5950682
2017-05-10,11.067,11.087,11.008,11.028,6565856
2017-05-11,10.808,10.858,10.719,10.828,5100926
2017-05-12,10.908,10.948,10.818,10.828,8219991
2017-05-15,11.102,11.147,11.07,11.097,5592868
2017-05-16,11.187,11.237,10.838,10.888,13478727
2017-05-17,10.968,10.998,10.5,10.549,12398173
2017-05-18,10.171,10.51,10.126,10.43,10235639
2017-05-19,10.719,10.878,10.35,10.46,18446203
2017-05-22,10.669,10.798,10.649,10.719,5804133
2017-05-23,10.848,10.898,10.166,10.28,26378163
2017-05-24,10.549,10.619,10.4,10.519,16755796
2017-05-25,10.549,10.604,10.43,10.539,6779944
2017-05-26,10.519,10.579,10.48,10.51,7573059
2017-05-30,10.31,10.42,10.29,10.37,4735922
2017-05-31,10.589,10.609,10.44,10.529,8268252
2017-06-01,10.629,11.112,10.549,11.097,18452999
2017-06-02,11.097,11.097,10.868,10.998,4871004
