Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,171.45,173.74,171.32,172.49,1344639
2017-01-04,173.18,173.28,171.27,172.58,1259722
2017-01-05,172.82,175.36,172.14,173.18,1301648
2017-01-06,173.04,174.77,172.78,174.46,1015644
2017-01-09,173.62,174.5,172.75,173.11,1090826
2017-01-10,173.79,174.9,172.79,173.38,1113833
2017-01-11,173.35,174.13,172.31,174.09,1449969
2017-01-12,174.23,174.23,170.68,173.54,1297710
2017-01-13,173.79,175.08,173.43,174.89,969300
2017-01-17,174.02,174.99,172.02,173.01,1221126
2017-01-18,172.97,173.87,172.1,173.77,962283
2017-01-19,174.77,176.11,173.68,175.57,1543062
2017-01-20,176.06,176.66,174.62,176.03,1776131
2017-01-23,176.27,176.93,173.88,175,1279907
2017-01-24,174.12,176.17,173.63,175.02,1224644
2017-01-25,174.19,174.97,170.26,173.12,2689743
2017-01-26,173.28,175.39,173.05,175.07,1866260
2017-01-27,174.09,185.01,173.48,182.8,4391565
2017-01-30,182.89,183.97,178.4,180.17,2837650
2017-01-31,178.86,179.18,176.64,178.8,2264292
2017-02-01,179.03,180.14,177.88,178.75,1260140
2017-02-02,178.47,179.03,176.85,178.08,1144134
2017-02-03,177.76,180.94,177.75,180.81,1564429
2017-02-06,181.09,182.28,180.36,180.73,1120892
2017-02-07,181.6,182.67,180.79,180.9,1552136
2017-02-08,180.59,181.62,179.65,180.83,1265577
2017-02-09,181.37,181.53,180.12,180.29,1327301
2017-02-10,180.53,182.33,179.86,182.07,1432991
2017-02-13,182.32,185.13,182.32,184.25,1288589
2017-02-14,184.69,185.11,182.28,184.87,1409275
2017-02-15,184.4,185.92,183.9,185.62,1010353
2017-02-16,185.68,186.39,184.09,186.37,1168227
2017-02-17,186.23,186.71,185.04,186.67,1178266
2017-02-21,186.64,187.54,186.23,187.2,1116774
2017-02-22,187.19,187.58,186.37,187.49,775476
2017-02-23,187.47,188.19,185.16,185.93,1172654
2017-02-24,185.53,187.32,184.65,187.24,1162186
2017-02-27,187.26,188.49,185.9,188,1625431
2017-02-28,187.79,188.9,186.91,187.42,1898185
