Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,33.593,34.159,33.458,33.756,11353738
2017-01-04,34.187,35.758,34.063,35.619,24313786
2017-01-05,35.543,35.58,34.635,34.946,16270147
2017-01-06,34.965,35.096,34.504,34.563,13783151
2017-01-09,34.686,35.086,34.438,34.581,15832523
2017-01-10,34.755,36.647,34.62,35.869,36236142
2017-01-11,36.051,36.599,35.743,36.444,20355740
2017-01-12,36.493,36.637,35.59,36.022,17524006
2017-01-13,36.061,36.271,35.676,35.859,9072706
2017-01-17,35.859,36.195,35.691,35.83,8563532
2017-01-18,35.965,36.089,35.647,35.985,11667249
2017-01-19,36.137,36.339,35.686,35.82,8587955
2017-01-20,35.935,35.935,35.302,35.543,14447043
2017-01-23,35.543,35.657,34.938,35.197,12082527
2017-01-24,35.244,35.763,35.226,35.533,12078543
2017-01-25,36.215,36.853,36.109,36.762,21597461
2017-01-26,36.589,36.733,35.889,36.031,11253846
2017-01-27,36.031,36.099,35.417,35.543,10648657
2017-01-30,35.379,35.437,34.696,34.889,12272797
2017-01-31,34.812,35.197,34.686,35.157,11120108
2017-02-01,35.226,35.639,34.438,34.706,14308223
2017-02-02,34.65,34.706,34.063,34.313,12246779
2017-02-03,34.495,34.889,34.265,34.889,14538805
2017-02-06,34.965,35.369,34.822,35.369,14483934
2017-02-07,34.332,34.534,33.42,33.708,41083110
2017-02-08,33.802,33.928,33.343,33.746,17561639
2017-02-09,33.882,33.995,33.63,33.69,15440811
2017-02-10,33.812,33.918,33.69,33.776,10747545
2017-02-13,33.977,34.13,33.786,34.111,10545402
2017-02-14,35.263,35.916,35.216,35.763,32674795
2017-02-15,35.484,35.639,35.148,35.609,16319583
2017-02-16,35.639,35.686,35.359,35.56,9745757
2017-02-17,35.331,36.397,34.965,35.743,16428949
2017-02-21,36.109,36.589,35.935,36.311,15111879
2017-02-22,36.387,36.594,36.296,36.339,9478457
2017-02-23,36.435,36.559,35.715,35.773,13683701
2017-02-24,35.408,35.715,35.12,35.437,13576947
2017-02-27,35.455,35.879,35.398,35.792,10508566
2017-02-28,35.676,35.743,35.101,35.379,10909352
2017-03-01,35.725,36.253,35.705,35.945,11125921
2017-03-02,35.889,36.589,35.773,36.262,15535551
2017-03-03,36.262,36.848,36.089,36.713,20312494
2017-03-06,36.473,37.021,35.725,36.407,21022059
2017-03-07,36.262,36.339,35.82,36.031,17942277
2017-03-08,36.002,36.562,36.002,36.158,11726485
2017-03-09,36.217,36.235,35.682,35.732,13093018
2017-03-10,35.994,36.076,35.672,35.732,18806251
2017-03-13,35.896,36.017,35.732,35.77,10426411
2017-03-14,35.653,35.862,35.585,35.857,6106563
2017-03-15,35.964,36.051,35.692,35.984,28953639
2017-03-16,35.984,36.012,35.672,35.974,12986363
2017-03-17,36.022,36.051,35.217,35.246,20204349
2017-03-20,35.275,35.362,34.538,34.645,39685614
2017-03-21,34.877,34.906,33.442,33.519,31843608
2017-03-22,33.286,33.578,32.946,33.363,19522361
2017-03-23,32.986,33.428,32.782,33.238,14982484
2017-03-24,33.373,34.023,33.063,33.529,16755226
2017-03-27,33.257,33.712,32.956,33.675,13324837
2017-03-28,33.625,35.168,33.625,34.499,30705508
2017-03-29,34.558,34.984,34.46,34.479,14303853
2017-03-30,34.441,34.722,34.261,34.353,8959051
2017-03-31,34.295,34.451,34.218,34.305,12131233
2017-04-03,34.276,34.344,32.792,33.15,32873546
2017-04-04,32.889,33.403,32.889,33.248,9787747
2017-04-05,33.587,33.616,32.976,32.986,10969711
2017-04-06,33.006,33.442,32.879,33.141,12530353
2017-04-07,33.015,33.18,32.695,32.704,14987869
2017-04-10,32.83,33.102,32.792,32.956,14226687
2017-04-11,33.073,33.073,32.583,32.909,10744952
2017-04-12,33.015,33.267,32.714,32.926,15165397
2017-04-13,32.772,32.899,32.374,32.393,9791700
2017-04-17,32.472,32.966,32.374,32.889,11063238
2017-04-18,32.714,32.816,32.485,32.685,7223274
