Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,182.84,186.96,182.65,186.84,383114
2017-01-04,187.78,189.71,187.14,189.62,605572
2017-01-05,189.86,194.97,188.95,193.32,713583
2017-01-06,193.71,193.81,190.03,191.29,486469
2017-01-09,191.64,191.89,188.06,188.23,406559
2017-01-10,189.01,191.08,187.62,189.06,451940
2017-01-11,189.15,189.66,186.28,188.12,404594
2017-01-12,191.51,192.4,188.32,188.84,553827
2017-01-13,189.94,191.68,189.23,189.34,347940
2017-01-17,189.75,189.75,186.07,187.4,344483
2017-01-18,187.54,189.34,186.69,188.71,292608
2017-01-19,190.19,192.87,189.75,192.55,444270
2017-01-20,193.4,194,192.36,193.42,486599
2017-01-23,193.96,194.42,190.33,191.28,397580
2017-01-24,190.81,193.09,189.85,192.49,328467
2017-01-25,193.12,193.37,190.1,190.47,385676
2017-01-26,190.53,192.06,188.52,192.03,292861
2017-01-27,191.67,192.95,189.1,189.29,434264
2017-01-30,189.9,190.42,187.18,190.36,231070
2017-01-31,190.46,191.94,187.52,191.69,267604
2017-02-01,192.68,192.7,187.59,190.54,414168
2017-02-02,190.09,192.56,188.55,192.48,345648
2017-02-03,193.01,197.1,192.64,196.95,309480
2017-02-06,197.58,198.41,196.67,197.12,335676
2017-02-07,197.92,198.75,196.16,196.68,315589
2017-02-08,196.63,197.24,195.68,196.31,263936
2017-02-09,196.48,197.88,196.24,196.54,392356
2017-02-10,196.93,198.4,196.57,198.01,356800
2017-02-13,198.52,199.24,197.68,198.84,419426
2017-02-14,197.98,201.26,196.97,200.22,415071
2017-02-15,201.07,204.41,199.64,203.3,523441
2017-02-16,206.51,209.31,201.88,207.49,699339
2017-02-17,208.53,211.16,206.56,209.43,554566
2017-02-21,209.43,210.92,207.66,210.18,371603
2017-02-22,211.29,213.18,210.59,212.74,332616
2017-02-23,213.7,213.81,210.84,211.84,367103
2017-02-24,211.79,215.39,210.58,214.45,420277
2017-02-27,213.45,216.16,212.56,215.57,409241
2017-02-28,216.33,217.24,214.81,215.94,570451
2017-03-01,216.55,218.2,215.95,217.51,536484
2017-03-02,217.04,218.69,215.9,216.36,483892
2017-03-03,216.39,217.3,215.06,216.86,347967
