Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,201.19,202.31,193.38,195.97,2808061
2017-01-04,196.77,197.78,194.28,196.14,1525109
2017-01-05,196.81,199.91,195.55,199.06,1842090
2017-01-06,198.83,201.21,197.95,200.05,1149300
2017-01-09,199.38,201.78,198.08,201.3,1072709
2017-01-10,200.61,201.87,199.29,199.56,1362095
2017-01-11,199.12,202.41,198.43,202.08,1820287
2017-01-12,202.37,204.48,201.6,203.83,1480613
2017-01-13,203.58,205.17,201.04,201.52,1306847
2017-01-17,201.72,203.3,200.07,202.64,909665
2017-01-18,203.2,205,201.02,204.69,1938090
2017-01-19,204.9,207.26,201.31,204.58,2451374
2017-01-20,205.97,205.97,198.96,199.15,2613938
2017-01-23,199.5,204.41,184.97,203.6,8997003
2017-01-24,202.6,203.09,197.93,198.56,3278181
2017-01-25,198.59,201.34,197.13,200.35,1729639
2017-01-26,201.57,201.57,198.25,198.75,773311
2017-01-27,200.38,200.87,197.7,200.27,1744493
2017-01-30,201.55,201.55,196.81,197.88,1226200
2017-01-31,198.38,200.06,196.27,197.14,900875
2017-02-01,197.22,198.45,196.37,197.12,978498
2017-02-02,197,198.76,194.71,198.01,1294045
2017-02-03,198.41,199.33,196.48,196.88,804736
2017-02-06,196.43,196.89,193.02,195.11,810000
2017-02-07,195.07,196.25,192.45,193.89,1119547
2017-02-08,191.81,198.59,187.7,198.26,1625169
2017-02-09,198.14,206.79,196.58,205.6,2545299
2017-02-10,205.53,206.56,202.74,204.01,1117418
2017-02-13,204.01,206.4,203.67,205.28,781947
2017-02-14,206.06,206.18,203.45,204.55,2245355
2017-02-15,204.79,210.78,203.03,203.9,3025417
2017-02-16,203.88,207.66,202.79,207.31,3140239
2017-02-17,205.37,205.58,202.24,203.19,3118858
2017-02-21,203.19,205.47,202.18,203.92,1714163
2017-02-22,202.62,204.8,201.96,204.28,1035561
2017-02-23,203.47,204.58,202.88,203.59,1360991
2017-02-24,203.55,206.07,202.25,205.85,1698864
2017-02-27,203.71,207.83,203.01,207.32,1352429
2017-02-28,207.31,210.14,206.83,209.79,1833221
2017-03-01,210.54,213.25,210.08,212.52,2468750
2017-03-02,212.74,214.23,210.93,211.11,1425992
2017-03-03,211.02,212.74,210.43,212.5,1030496
2017-03-06,212.3,212.68,210.7,211.28,1598777
2017-03-07,211.06,217.42,210.3,216.45,2597974
2017-03-08,216.46,216.77,215.07,215.95,1262306
2017-03-09,215.98,216.72,215.59,216.29,1243573
2017-03-10,216.61,217.25,215.13,216.43,1149850
2017-03-13,216.38,218.21,214.54,217.67,975878
2017-03-14,216.97,217.93,215.34,216.5,1066312
2017-03-15,216.71,218.97,216.7,217.57,711620
2017-03-16,217.38,218.71,216.6,217.74,996527
2017-03-17,217.86,218.48,216.13,217.39,1525631
2017-03-20,217.49,217.49,212.29,213.91,1943474
2017-03-21,214.8,216.04,211.23,212.08,1469251
2017-03-22,212.69,213.16,210.34,211.86,1080415
2017-03-23,211.86,212.39,207.97,208.46,1195207
2017-03-24,208.52,208.9,203.1,205.84,3359820
2017-03-27,204.3,205.18,202.08,202.08,1923898
2017-03-28,202.08,205.97,202.08,205.21,1191314
2017-03-29,204.85,206.71,203.96,205.01,1505752
2017-03-30,204.98,207.18,204.6,205.84,822004
2017-03-31,205.39,206.62,204.17,205.12,1252054
2017-04-03,205.65,210.92,205.65,208.73,1489117
2017-04-04,209.24,212.08,208.75,210,1761910
2017-04-05,210.13,211.17,208.87,209.03,995513
2017-04-06,208.56,211.96,207.68,211.54,1241152
2017-04-07,210.79,211.93,208.87,209.7,1071467
2017-04-10,209.9,212.5,209.9,211.52,679930
2017-04-11,211.21,212.4,210.11,211.84,826441
2017-04-12,211.94,213.34,211.51,211.93,1034944
2017-04-13,211.64,211.93,210.42,210.75,576823
2017-04-17,210.87,212.08,210.53,211.71,678562
2017-04-18,212.1,212.38,209.64,210.65,1052508
2017-04-19,210.8,213.35,210.8,212.05,1092001
2017-04-20,212.32,214.58,212.14,213.18,2226657
2017-04-21,210.45,213.42,208.97,212.61,1719280
2017-04-24,214.02,214.8,211.63,212.7,1258013
2017-04-25,215.8,218.91,213.44,216.89,1894684
2017-04-26,217.44,219.58,217.02,218.26,1279564
2017-04-27,218.6,220.87,217.09,217.58,1079269
2017-04-28,217.12,221.37,216.75,220.88,1232035
2017-05-01,221.09,223.65,219.71,222.26,1524973
2017-05-02,222.69,225.73,220.9,224.48,2292900
2017-05-03,227.45,227.47,222.05,222.91,1107209
2017-05-04,223.58,227.9,223.31,227.71,2840599
2017-05-05,228.08,229.38,226.9,228.62,1762540
2017-05-08,228.68,229.27,227.11,228.11,2049367
2017-05-09,228.85,231.24,228.66,229.44,1564735
2017-05-10,228.86,230.7,228.22,229.65,1659949
2017-05-11,228.65,230.31,226.94,229.58,1479419
2017-05-12,229.38,232.5,229.38,230.84,1452139
2017-05-15,230.62,231.33,228.66,229.96,2381336
2017-05-16,229.73,229.73,224.72,225.08,1834369
2017-05-17,223.76,228.53,223.48,223.8,2436554
2017-05-18,223.8,228.82,223.8,227.67,1876707
2017-05-19,228.1,228.73,225.54,226.76,1363327
2017-05-22,226.77,229.52,226.77,229.16,1082050
2017-05-23,229.16,229.58,226.22,228.14,863607
2017-05-24,228.34,231,227.9,230.46,813861
2017-05-25,231.35,233.7,230.29,231.08,1177971
2017-05-26,231.94,233.71,230.11,231.1,1678775
2017-05-30,231.12,231.84,228.78,229.22,1028205
2017-05-31,229.75,231.71,229.33,231.11,1206146
2017-06-01,231.01,234.81,231.01,233.83,1286325
2017-06-02,234.33,235.17,232.41,233.04,1277010
2017-06-05,232.52,232.94,231.5,231.61,1739899
2017-06-06,232.01,232.82,231.08,232.34,1346600
