Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,56.207,56.266,55.115,55.535,2627481
2017-01-04,55.772,56.76,55.634,56.513,3109001
2017-01-05,56.325,57.017,56.009,56.275,1657012
2017-01-06,56.345,56.838,56.207,56.641,1508497
2017-01-09,56.582,56.987,56.197,56.325,1490255
2017-01-10,56.414,56.463,55.989,56.078,1667430
2017-01-11,56.217,56.266,55.357,56.147,3899592
2017-01-12,55.841,56.285,55.12,56.029,4342549
2017-01-13,56.365,56.74,55.979,56.137,1987305
2017-01-17,56.039,56.088,55.485,55.772,2023166
2017-01-18,56.059,56.72,55.525,56.612,2098434
2017-01-19,56.661,56.74,56.256,56.266,1910640
2017-01-20,56.424,56.799,56.236,56.7,2026538
2017-01-23,56.493,56.74,55.999,56.147,1564832
2017-01-24,56.295,56.978,56.222,56.76,1722603
2017-01-25,57.134,57.48,57.046,57.254,2563120
2017-01-26,57.44,58.152,57.274,57.46,1951363
2017-01-27,57.45,57.48,56.913,57.174,1325347
2017-01-30,57.174,57.264,56.552,57.234,1325629
2017-01-31,57.284,57.679,57.115,57.65,2488700
2017-02-01,57.708,58.242,57.431,57.64,2988536
2017-02-02,57.314,58.083,57.125,57.679,3779338
2017-02-03,58.162,58.282,57.737,57.826,3130740
2017-02-06,57.54,57.856,57.412,57.796,2915376
2017-02-07,58.558,59.803,58.558,59.2,7251144
2017-02-08,58.774,58.774,56.29,56.345,5672523
2017-02-09,56.384,56.958,56.108,56.878,3702300
2017-02-10,56.928,57.159,56.439,56.948,3011863
2017-02-13,57.412,58.39,57.115,58.311,2590163
2017-02-14,58.311,58.419,57.737,57.936,2950903
2017-02-15,58.015,58.399,57.62,58.292,3438774
2017-02-16,58.222,58.222,57.535,57.936,1831756
2017-02-17,57.816,58.083,57.59,57.688,2999460
2017-02-21,57.708,57.856,57.106,57.254,3189255
2017-02-22,56.888,57.284,56.76,57.026,2818826
2017-02-23,57.154,57.603,57.093,57.402,3010472
2017-02-24,57.066,57.906,56.968,57.59,2051310
2017-02-27,57.54,57.688,56.453,56.997,3130341
2017-02-28,56.78,56.938,56.275,56.434,3434205
2017-03-01,57.125,58.38,56.908,58.212,3916967
2017-03-02,58.172,58.259,57.663,57.806,3018417
2017-03-03,57.806,58.132,57.362,58.024,3028938
2017-03-06,57.708,58.498,57.392,58.301,3691291
2017-03-07,58.232,58.33,57.836,57.916,2688865
2017-03-08,58.142,58.755,57.936,58.666,3508655
2017-03-09,58.804,59.714,58.736,59.328,5162975
2017-03-10,59.594,60.118,59.042,59.525,3628760
2017-03-13,59.753,59.96,59.466,59.664,3667484
2017-03-14,59.664,60.14,59.48,59.674,3444436
