Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,35.607,35.919,35.278,35.598,20222999
2017-01-04,35.705,35.763,35.345,35.422,13645938
2017-01-05,35.452,35.715,35.311,35.355,13525557
2017-01-06,35.462,35.677,35.199,35.481,14675406
2017-01-09,35.481,35.876,35.479,35.607,19287172
2017-01-10,35.551,35.919,35.531,35.541,15912541
2017-01-11,35.511,35.987,35.511,35.939,19166614
2017-01-12,35.822,35.822,35.326,35.705,20133796
2017-01-13,35.705,35.851,35.617,35.783,14527804
2017-01-17,35.667,35.822,35.588,35.793,19188225
2017-01-18,35.881,35.997,35.607,35.753,14409384
2017-01-19,35.511,35.9,35.511,35.569,12633160
2017-01-20,35.753,36.017,35.578,35.919,19630114
2017-01-23,36.056,36.192,35.551,35.763,26158866
2017-01-24,35.831,36.707,35.803,36.581,30880581
2017-01-25,36.834,36.96,36.488,36.765,30351433
2017-01-26,36.784,36.887,36.396,36.532,30257030
2017-01-27,36.96,37.398,36.774,36.941,45150587
2017-01-30,36.707,36.804,36.308,36.381,22263855
2017-01-31,36.202,36.348,35.637,35.813,26279321
2017-02-01,35.813,35.939,35.034,35.521,28517970
2017-02-02,35.268,35.695,35.209,35.677,31533681
2017-02-03,35.941,36.069,35.705,35.774,21476842
2017-02-06,35.764,35.764,35.412,35.53,19677030
2017-02-07,35.705,35.774,35.5,35.607,18410082
2017-02-08,35.597,35.902,35.403,35.637,20264817
2017-02-09,35.754,35.754,34.677,34.736,47483455
2017-02-10,34.54,34.707,34.128,34.618,44159732
2017-02-13,34.844,35.118,34.618,35.068,19716256
2017-02-14,35.108,35.226,34.804,35.196,21720083
2017-02-15,35.245,35.323,34.941,35.313,17928512
2017-02-16,35.44,35.814,35.363,35.667,20838072
2017-02-17,35.577,35.735,35.363,35.735,18322940
2017-02-21,35.784,35.902,35.587,35.774,18925883
2017-02-22,35.597,35.653,35.059,35.333,29712651
2017-02-23,35.5,35.558,35.166,35.43,19642434
2017-02-24,35.403,35.784,35.216,35.784,18290227
2017-02-27,35.677,35.931,35.53,35.764,13614381
2017-02-28,35.677,35.7,35.265,35.46,23633293
2017-03-01,35.118,35.363,34.717,35.196,33305425
2017-03-02,35.196,35.285,34.921,35.176,22942961
2017-03-03,35.206,35.348,34.941,35.166,17607929
2017-03-06,35.059,35.068,34.697,34.844,21814967
2017-03-07,34.814,35.068,34.662,35.068,21318954
2017-03-08,34.941,35.166,34.799,34.892,20966061
2017-03-09,34.874,35.206,34.774,35.088,23197551
2017-03-10,35.383,35.554,35.049,35.176,21015286
2017-03-13,34.951,35.303,34.225,34.442,54700263
2017-03-14,34.345,34.51,33.952,34.462,29182976
2017-03-15,34.225,34.452,33.971,34.382,28579881
2017-03-16,34.452,34.637,34.354,34.422,20025094
2017-03-17,34.589,34.609,34.382,34.55,27531269
2017-03-20,34.647,34.901,34.54,34.707,17683485
2017-03-21,34.864,34.874,34.285,34.325,23290285
2017-03-22,34.5,34.736,34.285,34.647,19543706
2017-03-23,34.764,34.764,34.305,34.55,21070753
2017-03-24,34.921,35.001,34.402,34.442,21779855
2017-03-27,34.354,34.774,34.225,34.667,16966283
2017-03-28,34.618,34.981,34.49,34.874,18114726
2017-03-29,34.794,34.971,34.712,34.844,17253341
2017-03-30,34.854,35.156,34.794,35.02,16138908
2017-03-31,35.02,35.51,35.011,35.333,19803435
2017-04-03,35.45,35.989,35.383,35.421,32681202
2017-04-04,35.383,35.632,35.255,35.54,17722968
2017-04-05,35.686,36.009,35.43,35.47,20760795
2017-04-06,35.393,35.545,35.293,35.293,18135451
2017-04-07,35.333,35.577,35.25,35.293,16016677
2017-04-10,35.285,35.353,34.884,35.068,16224273
2017-04-11,35.039,35.059,34.49,35.011,23185426
2017-04-12,35.138,35.275,34.774,34.901,16613357
2017-04-13,34.824,35.029,34.53,34.53,15214300
2017-04-17,34.717,34.864,34.609,34.754,11288501
2017-04-18,34.707,35.078,34.574,35.034,12236690
2017-04-19,35.235,35.48,35.156,35.176,16000845
2017-04-20,35.44,35.525,35.128,35.44,21804579
2017-04-21,35.46,35.677,35.118,35.577,19487457
2017-04-24,35.921,36.096,35.715,35.999,26557358
2017-04-25,36.019,36.244,35.912,36.116,22516432
2017-04-26,36.029,36.47,36.029,36.176,27800531
2017-04-27,36.116,36.735,36.029,36.665,40479042
2017-04-28,35.363,35.74,35.148,35.412,57953032
2017-05-01,35.373,35.657,35.206,35.568,25295494
2017-05-02,35.627,36.273,35.607,36.216,36295828
2017-05-03,36.237,36.681,36.138,36.493,22333141
2017-05-04,36.503,36.622,36.158,36.365,16654741
2017-05-05,36.375,36.444,36.02,36.336,18360734
2017-05-08,36.247,36.365,36,36.06,17862710
2017-05-09,36,36.266,35.803,35.892,18045672
2017-05-10,35.793,35.902,35.457,35.537,25438080
2017-05-11,35.437,35.527,34.988,35.221,21784379
2017-05-12,35.25,35.27,34.934,35.063,19913152
2017-05-15,35.067,35.245,34.954,35.161,22317808
2017-05-16,35.28,35.418,34.954,35.349,22587240
2017-05-17,35.201,35.516,34.559,34.579,26990640
2017-05-18,34.727,35.004,34.618,34.756,17400736
2017-05-19,34.688,35.082,34.668,34.934,18424105
2017-05-22,35.014,35.635,34.914,35.299,14807712
2017-05-23,35.399,35.517,35.092,35.389,17116765
2017-05-24,35.507,35.704,35.418,35.645,21097962
2017-05-25,35.645,35.912,35.585,35.783,13281809
2017-05-26,35.783,35.852,35.655,35.783,11187960
2017-05-30,35.793,35.96,35.615,35.704,13197491
2017-05-31,35.832,35.902,35.399,35.635,17989601
2017-06-01,35.645,35.655,35.329,35.645,17709338
2017-06-02,35.793,35.852,35.527,35.842,19350605
2017-06-05,35.823,36.02,35.724,35.862,11816665
2017-06-06,35.685,35.97,35.507,35.655,18632531
2017-06-07,35.655,36.089,35.625,35.783,17367873
2017-06-08,35.862,36.05,35.685,36,17275107
2017-06-09,36.02,36.08,34.846,35.24,33761733
2017-06-12,35.122,35.537,34.944,35.26,28867492
2017-06-13,35.211,35.477,35.063,35.408,20862565
2017-06-14,35.517,35.576,34.756,35.063,19379367
2017-06-15,34.747,35.014,34.678,34.846,20666680
2017-06-16,34.816,34.866,34.55,34.747,31106911
2017-06-19,35.142,35.142,34.856,35.043,21791142
2017-06-20,34.984,34.984,34.382,34.401,21819451
2017-06-21,33.878,34.145,33.642,34.125,27500191
2017-06-22,34.105,34.175,33.839,33.908,24183309
2017-06-23,33.76,34.095,33.647,33.74,29147455
2017-06-26,33.81,34.056,33.582,33.622,18902011
2017-06-27,33.552,33.696,33.207,33.207,27432100
2017-06-28,33.326,33.79,33.296,33.75,26280189
2017-06-29,33.474,33.652,32.901,33.099,25542493
2017-06-30,33.424,33.484,33.094,33.296,24755667
2017-07-03,33.069,33.582,32.991,33.019,12845849
2017-07-05,33.079,33.977,33.044,33.888,30408968
2017-07-06,33.672,33.839,33.119,33.187,20986485
2017-07-07,33.257,33.672,33.257,33.434,18121837
2017-07-10,32.813,33.296,32.793,33.202,30302434
2017-07-11,33.197,33.484,32.992,33.474,25915032
2017-07-12,33.829,33.938,33.494,33.8,24082026
2017-07-13,33.878,33.948,33.672,33.79,15246260
2017-07-14,34.027,34.253,33.815,34.223,16532564
2017-07-17,34.283,34.283,33.908,34.017,21323871
2017-07-18,33.977,34.125,33.8,34.076,14553738
2017-07-19,34.223,34.223,34.007,34.105,16880649
2017-07-20,34.085,34.382,34.022,34.293,17705093
2017-07-21,34.085,34.362,33.943,34.273,22484119
2017-07-24,34.273,34.343,33.928,34.046,16113889
2017-07-25,34.095,34.278,33.948,34.214,18316118
2017-07-26,34.243,34.51,34.135,34.293,15701666
2017-07-27,34.323,34.786,34.214,34.51,43497503
2017-07-28,34.668,35.389,34.54,34.846,36263707
2017-07-31,35.004,35.27,34.856,35.004,27375759
2017-08-01,35.191,35.951,35.102,35.872,39119868
2017-08-02,35.852,36.188,35.58,36.158,35418178
2017-08-03,36.337,36.377,35.939,36.277,26766200
2017-08-04,36.342,36.347,35.89,36.088,20635836
2017-08-07,36.178,36.337,36.009,36.218,18261570
2017-08-08,36.158,36.486,36.088,36.198,22937561
2017-08-09,36.069,36.446,35.81,36.377,22924454
2017-08-10,36.188,36.347,35.9,35.929,22768124
2017-08-11,36.049,36.188,35.581,35.661,19385091
2017-08-14,35.91,36.258,35.87,36.128,18567915
2017-08-15,36.088,36.108,35.606,35.79,21826963
2017-08-16,35.77,35.86,35.353,35.601,21976337
2017-08-17,35.393,35.472,34.965,34.965,19294146
2017-08-18,35.084,35.104,34.786,34.806,16324545
2017-08-21,34.886,35.074,34.498,34.717,26635330
2017-08-22,34.816,34.985,34.418,34.448,26246523
2017-08-23,34.339,34.607,34.18,34.458,19891536
2017-08-24,34.498,34.687,34.349,34.508,14366975
2017-08-25,34.617,34.726,34.379,34.468,14802056
2017-08-28,34.577,34.597,34.388,34.438,20829997
2017-08-29,34.309,34.548,34.254,34.528,15918980
2017-08-30,34.548,34.756,34.428,34.687,18672796
2017-08-31,34.736,34.975,34.667,34.866,16462420
2017-09-01,35.035,35.184,34.866,34.886,12896549
2017-09-05,34.816,35.124,34.726,34.816,19413155
2017-09-06,35.015,35.731,34.905,35.552,28204977
2017-09-07,35.671,35.741,35.124,35.333,16391947
2017-09-08,35.214,35.333,34.876,34.975,14207800
2017-09-11,35.283,35.79,34.935,35.562,19550999
2017-09-12,35.671,36.128,35.532,35.88,19603882
2017-09-13,35.79,36.188,35.76,36.118,15587746
2017-09-14,35.979,36.481,35.949,36.267,18173084
2017-09-15,36.337,36.864,36.009,36.784,33651549
2017-09-18,36.784,37.112,36.586,36.784,19403348
2017-09-19,36.983,37.078,36.804,37.013,23824389
2017-09-20,37.013,37.073,36.441,36.854,24056901
2017-09-21,36.774,37.053,36.635,36.983,23053674
2017-09-22,36.735,37.003,36.735,36.963,21756643
2017-09-25,36.834,37.013,36.635,36.943,23283393
2017-09-26,36.993,37.421,36.784,37.252,29933249
2017-09-27,37.401,37.47,36.884,37.321,26118284
2017-09-28,37.103,37.659,37.073,37.61,21284574
2017-09-29,37.62,37.928,37.48,37.858,23295409
2017-10-02,37.898,38.862,37.858,38.842,37573927
2017-10-03,38.723,39.469,38.723,39.151,34199527
2017-10-04,39.16,39.17,38.634,39.111,28520044
2017-10-05,39.27,39.419,38.982,39.3,17812554
2017-10-06,39.369,39.658,39.19,39.399,18994618
2017-10-09,39.449,39.648,39.29,39.628,18565114
2017-10-10,39.697,39.717,39.151,39.419,30055661
2017-10-11,39.25,39.439,38.832,39.071,30902558
2017-10-12,39.121,39.16,38.753,38.962,18641601
2017-10-13,39.21,39.578,39.051,39.439,16926870
2017-10-16,39.479,39.558,39.21,39.528,12559889
2017-10-17,39.33,39.633,39.141,39.558,15610958
2017-10-18,39.568,40.055,39.369,40.015,21547071
