Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,57.39,58.584,57.294,58.361,12355729
2017-01-04,58.702,58.981,58.254,58.341,9700425
2017-01-05,58.43,58.778,58.215,58.322,9272184
2017-01-06,58.303,58.662,57.76,58.477,10552459
2017-01-09,58.506,59.652,58.294,59.283,10025506
2017-01-10,59.38,59.419,58.109,58.138,15718623
2017-01-11,60.486,61.281,58.944,59.796,33663925
2017-01-12,60.67,61.359,60.272,60.36,25634636
2017-01-13,60.476,60.816,60.252,60.486,10255390
2017-01-17,60.078,60.224,59.38,59.652,10917373
2017-01-18,59.554,59.942,59.263,59.351,8372126
2017-01-19,59.235,59.263,58.284,58.536,11631122
2017-01-20,60.544,61.049,60.302,60.67,26013292
2017-01-23,59.972,60.544,59.796,59.972,10495487
2017-01-24,59.759,59.855,58.928,59.389,10806065
2017-01-25,59.497,59.554,58.954,59.263,15002940
2017-01-26,59.205,59.53,58.739,59.38,13096950
2017-01-27,59.554,60.146,59.477,59.913,6856126
2017-01-30,59.69,59.875,59.112,59.603,8090607
2017-01-31,59.244,60.388,59.109,60.146,10118950
2017-02-01,60.214,60.418,59.729,60.252,11352655
2017-02-02,60.777,62.301,60.67,62.271,19571768
2017-02-03,61.96,62.417,61.388,62.377,12007457
2017-02-06,62.019,63.018,62,63.008,9427865
2017-02-07,62.835,62.998,62.145,62.291,8688797
2017-02-08,62,62.563,61.931,62.407,6087897
2017-02-09,62.427,62.892,62.382,62.475,7267770
2017-02-10,62.407,62.649,62.057,62.242,8792890
2017-02-13,62.339,62.902,62.31,62.844,7370041
2017-02-14,62.719,63.766,62.513,63.707,10444920
2017-02-15,62.97,63.911,62.921,63.222,18352833
2017-02-16,63.202,63.464,62.543,63.318,12724727
2017-02-17,63.261,63.61,62.931,63.445,9325621
2017-02-21,62.97,63.823,62.97,63.533,7612485
2017-02-22,63.551,63.795,63.154,63.348,8945698
2017-02-23,63.571,64.143,63.402,63.892,7065308
2017-02-24,63.697,64.193,63.678,64.193,8702897
2017-02-27,63.823,63.979,63.61,63.892,7352802
2017-02-28,63.852,64.183,63.697,63.911,7977141
2017-03-01,64.105,64.813,63.93,64.241,11008117
2017-03-02,64.405,64.6,64.037,64.115,8912504
2017-03-03,63.901,64.638,63.852,64.6,8578055
2017-03-06,64.115,64.794,63.94,64.493,6976348
2017-03-07,63.484,64.338,63.252,63.998,8583127
2017-03-08,63.998,64.153,63.328,63.843,8676371
2017-03-09,64.008,64.066,63.566,63.93,7972261
2017-03-10,64.105,64.228,63.551,63.65,9086354
2017-03-13,63.757,63.805,62.555,62.692,14449077
2017-03-14,62.672,63.043,62.593,62.739,8077308
2017-03-15,62.936,63.493,62.759,63.229,9234962
2017-03-16,63.102,63.316,62.535,62.72,9836926
2017-03-17,62.789,63.224,62.438,62.447,14785035
2017-03-20,62.682,62.838,62.545,62.652,13273004
2017-03-21,62.819,63.135,62.173,62.457,10796196
2017-03-22,62.525,62.652,61.811,62.055,9769667
2017-03-23,61.919,62.368,61.754,61.841,9680396
2017-03-24,61.724,62.085,61.43,61.744,9349124
2017-03-27,61.489,61.968,61.382,61.754,8202421
2017-03-28,61.763,61.958,61.45,61.899,10421992
2017-03-29,62.222,62.647,62.017,62.192,8324640
2017-03-30,62.055,62.232,61.876,62.008,5445806
2017-03-31,61.821,62.183,61.811,62.095,7791181
2017-04-03,61.988,62.261,61.782,62.027,6798181
2017-04-04,62.144,62.315,61.928,62.222,6493282
2017-04-05,62.242,62.692,62.065,62.125,7885623
2017-04-06,62.036,62.515,61.754,61.801,7728412
2017-04-07,61.841,61.892,61.514,61.694,7900720
2017-04-10,61.831,61.891,61.108,61.127,7416320
2017-04-11,61.07,61.328,60.766,61.157,6697048
2017-04-12,60.952,61.773,60.863,61.617,9730439
2017-04-13,61.362,61.567,61.137,61.187,6070588
2017-04-17,61.284,61.411,60.971,61.372,5458362
2017-04-18,61.04,61.04,60.581,60.853,7566772
2017-04-19,60.844,61.215,60.59,61.215,10589872
2017-04-20,61.234,61.323,60.835,61.127,9170807
2017-04-21,60.942,61.206,60.463,60.483,10741306
2017-04-24,61.078,61.098,60.609,60.726,9002257
2017-04-25,61.07,61.499,60.835,60.883,10940635
2017-04-26,61.206,61.45,61.01,61.274,9065327
2017-04-27,61.352,61.48,61.03,61.157,6756987
2017-04-28,61.157,61.225,60.726,60.913,9681834
2017-05-01,60.835,61.074,60.688,60.961,10451374
2017-05-02,61.088,61.801,60.893,61.274,13049119
2017-05-03,61.078,62.222,60.961,62.183,11762018
2017-05-04,62.222,62.438,61.782,61.938,8810013
2017-05-05,62.055,62.632,61.988,62.515,9564047
2017-05-08,62.457,63.043,62.378,62.555,11408956
2017-05-09,62.72,62.804,61.724,61.851,10445156
2017-05-10,61.694,62.495,61.655,62.485,9819769
2017-05-11,63.277,63.767,62.843,62.965,18946574
2017-05-12,62.926,63.199,61.831,62.125,10582587
2017-05-15,61.978,62.154,61.899,62.065,7658014
2017-05-16,61.998,62.418,61.704,62.339,8053007
2017-05-17,61.938,62.134,61.45,61.567,8095916
2017-05-18,61.48,63.033,61.48,62.438,12231073
2017-05-19,62.584,62.584,62.055,62.329,9440331
2017-05-22,62.251,62.975,62.125,62.584,6371439
2017-05-23,62.545,63.122,62.545,63.082,5863167
2017-05-24,63.297,63.717,63.072,63.453,7221977
2017-05-25,63.483,63.64,63.19,63.56,7254233
2017-05-26,63.523,63.722,63.346,63.443,3771486
2017-05-30,63.249,63.66,63.063,63.404,4999169
2017-05-31,63.6,63.996,63.55,63.63,7970791
2017-06-01,63.61,63.777,63.386,63.777,7729353
2017-06-02,63.971,64.089,63.697,63.981,6422157
2017-06-05,63.864,63.903,63.229,63.59,6107393
2017-06-06,63.523,63.56,62.993,63.199,6824213
2017-06-07,63.13,63.18,62.54,62.602,7783584
2017-06-08,62.779,62.789,61.401,61.763,18902199
2017-06-09,61.763,62.975,61.704,62.926,10988661
2017-06-12,63.092,63.209,62.739,62.926,9610319
2017-06-13,62.738,62.847,62.049,62.286,12230953
2017-06-14,62.039,62.645,62.039,62.384,10494857
2017-06-15,62.315,62.453,61.897,62.207,7990031
2017-06-16,62.276,62.719,61.715,61.991,15127605
2017-06-19,62.109,62.818,62.039,62.69,8559882
2017-06-20,62.69,63.95,62.586,63.527,10425187
2017-06-21,63.555,64.58,63.555,64.442,11321128
2017-06-22,64.491,65.327,64.364,64.993,13258830
2017-06-23,65.013,65.356,64.816,65.131,13722870
2017-06-26,65.121,65.367,64.806,64.895,7687511
2017-06-27,65.239,65.239,64.52,64.52,8240874
