Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,66.145,66.262,64.958,65.37,608979
2017-01-04,65.34,66.468,65.331,66.391,567233
2017-01-05,66.165,66.812,65.919,66.311,623167
2017-01-06,66.292,67.46,66.194,67.115,618465
2017-01-09,67.028,67.105,66.008,66.439,646451
2017-01-10,66.292,66.537,65.851,65.88,843429
2017-01-11,65.87,66.468,65.576,66.391,477453
2017-01-12,66.115,66.224,64.802,66.076,504990
2017-01-13,66.008,66.587,65.919,66.381,435363
2017-01-17,66.038,66.351,65.576,65.675,913422
2017-01-18,65.4,65.968,65.312,65.929,771217
2017-01-19,65.743,66.018,65.184,65.743,632155
2017-01-20,65.978,66.253,65.528,66.038,609671
2017-01-23,65.743,66.351,65.36,65.998,631318
2017-01-24,65.91,66.946,65.536,66.615,642228
2017-01-25,66.753,67.105,66.371,66.998,611620
2017-01-26,67.155,67.546,66.939,67.479,619795
2017-01-27,67.566,67.576,66.763,67.018,732246
2017-01-30,66.703,66.919,66.106,66.841,769654
2017-01-31,67.018,69.223,65.939,69.155,1486313
2017-02-01,69.086,70.479,68.91,69.361,1337921
2017-02-02,69.282,69.812,68.654,69.292,742708
2017-02-03,69.606,69.606,68.664,68.959,993749
2017-02-06,68.674,68.929,68.234,68.37,850202
2017-02-07,68.606,68.763,67.576,67.998,1349311
2017-02-08,67.938,68.018,67.273,67.527,952512
2017-02-09,67.566,68.105,67.46,67.742,559938
2017-02-10,67.752,68.621,67.722,68.4,837992
2017-02-13,68.42,69.468,68.077,69.312,849032
2017-02-14,69.312,69.645,69.116,69.39,686730
2017-02-15,69.635,70.223,69.125,69.851,885247
2017-02-16,69.93,70.184,69.331,69.94,786664
2017-02-17,69.734,70.243,69.41,70.106,1907381
2017-02-21,70.194,70.449,69.865,69.968,902556
2017-02-22,69.841,70.351,69.664,69.841,797619
2017-02-23,70.027,70.321,69.772,70.047,556610
2017-02-24,69.684,70.38,69.653,70.047,809657
2017-02-27,70.164,70.164,69.528,69.753,623308
2017-02-28,69.782,69.935,69.302,69.714,1334799
2017-03-01,70.586,71.096,70.399,70.763,1286546
2017-03-02,70.763,70.92,69.753,69.851,869598
2017-03-03,69.812,70.174,69.292,69.694,1111240
2017-03-06,69.42,70.154,69.242,69.958,886025
2017-03-07,70.037,70.037,69.341,69.537,668386
2017-03-08,69.596,69.93,69.272,69.341,810128
2017-03-09,69.645,69.87,69.322,69.684,714377
2017-03-10,69.91,70.164,68.89,69.567,1064112
2017-03-13,69.292,69.625,69.046,69.39,1077326
2017-03-14,69.262,69.547,69.125,69.322,705384
2017-03-15,69.617,69.833,69.292,69.745,970747
2017-03-16,69.706,70.178,69.302,70.08,1116143
2017-03-17,70.04,70.375,69.774,69.804,1493413
2017-03-20,69.577,69.951,69.469,69.696,642371
2017-03-21,69.971,70.129,68.628,68.681,1160210
2017-03-22,68.75,68.898,68.336,68.643,723911
2017-03-23,68.711,69.154,68.553,68.671,852838
2017-03-24,68.858,69.469,68.623,68.79,836752
2017-03-27,68.219,68.344,67.745,67.962,523260
2017-03-28,67.932,68.332,67.558,68.09,962054
2017-03-29,67.922,67.962,67.386,67.628,605169
2017-03-30,67.658,68.455,67.48,68.336,904426
2017-03-31,68.119,68.583,67.835,68.396,805296
