Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,114.81,115.3,114.48,115.18,209947
2017-01-04,116.85,117.84,116.73,117.75,257933
2017-01-05,117.75,117.94,116.9,117.02,539433
2017-01-06,116.43,116.81,116.01,116.72,176578
2017-01-09,116.09,116.55,116.08,116.33,139731
2017-01-10,115.7,116.65,115.42,116.35,220637
2017-01-11,115.7,116.5,115.7,116.5,194988
2017-01-12,116.24,116.53,114.99,116.24,225127
2017-01-13,116.41,116.49,116.12,116.4,116392
2017-01-17,115.48,115.57,114.81,115.04,196129
2017-01-18,115.34,115.6,115.15,115.42,142590
2017-01-19,116.16,116.54,115.52,115.92,109933
2017-01-20,115.73,116,115.29,115.54,126184
2017-01-23,115.08,115.08,114.4,114.92,142400
2017-01-24,113.59,114.57,113.37,114.29,313117
2017-01-25,115.25,115.89,115.15,115.67,239976
2017-01-26,116.04,116.58,115.57,115.59,187770
2017-01-27,113.76,113.76,113.19,113.37,202481
2017-01-30,113.05,113.27,112.27,112.77,163859
2017-01-31,112.91,113.06,111.79,112.46,328312
2017-02-01,112.54,112.85,111.77,111.98,333690
2017-02-02,111.44,111.5,110.73,111.27,256098
2017-02-03,111.44,112.18,111.43,111.84,193028
2017-02-06,110.96,111.22,109.54,110.09,450739
2017-02-07,110.28,110.29,109.53,109.83,354440
2017-02-08,110.12,110.19,109.66,110.05,256456
2017-02-09,108.63,108.8,107.97,108.74,458437
2017-02-10,109.35,109.93,109.3,109.68,387938
2017-02-13,110.83,111.24,110.65,110.89,425725
2017-02-14,111.09,111.23,110.52,111.21,238721
2017-02-15,110.48,110.48,110.1,110.38,194647
2017-02-16,109.98,110.38,109.87,110.13,201697
2017-02-17,109.29,110.47,109.15,110.47,247335
2017-02-21,110.84,111.33,110.58,111.05,277367
2017-02-22,110.97,111.19,110.83,111.14,192422
2017-02-23,111.42,111.63,111.12,111.33,186931
2017-02-24,110.66,110.79,110.27,110.53,185243
2017-02-27,110.48,111.03,110.44,111,185939
2017-02-28,110.37,110.41,109.78,109.93,201750
2017-03-01,111.56,111.72,111.25,111.48,247453
2017-03-02,110.36,110.65,109.94,110.17,260130
2017-03-03,110.05,110.31,109.85,110.12,129520
2017-03-06,109.92,109.92,109.54,109.7,166737
2017-03-07,109.49,109.84,109.3,109.45,176624
2017-03-08,109.35,109.39,108.59,108.62,185669
2017-03-09,108.92,109.22,108.7,109,154902
2017-03-10,109.63,109.77,109.21,109.46,295790
2017-03-13,110.15,110.58,110.11,110.18,240559
2017-03-14,109.28,109.4,108.82,108.9,134462
2017-03-15,109.43,110.28,109.34,110.02,175508
2017-03-16,110.48,110.72,109.95,110.02,112577
2017-03-17,109.44,109.53,108.88,109.02,494516
2017-03-20,109.07,109.4,108.76,108.81,192065
2017-03-21,109.49,109.65,107.97,108.22,394338
2017-03-22,107.74,107.85,106.99,107.68,287492
2017-03-23,107.4,107.93,107.19,107.36,164618
2017-03-24,107.96,108.45,107.77,108.19,166426
2017-03-27,107.88,108.78,107.61,108.56,217858
2017-03-28,108.72,109.39,108.61,109.22,211372
2017-03-29,108.81,108.89,108.67,108.8,395302
2017-03-30,108.56,108.85,108.45,108.62,205505
2017-03-31,107.5,107.5,106.99,107.2,314126
2017-04-03,107.2,107.37,106.5,107.1,261985
2017-04-04,106.64,106.93,106.46,106.59,340900
2017-04-05,105.63,105.63,104.67,104.75,540641
2017-04-06,104.29,104.5,103.96,104.12,397438
2017-04-07,104.37,104.7,104.24,104.52,236800
2017-04-10,104.72,105.08,104.43,104.59,384523
2017-04-11,105.37,105.39,104.67,105.01,424921
2017-04-12,104.6,104.6,104.02,104.06,315617
2017-04-13,103.75,103.77,102.8,102.81,350754
2017-04-17,104.54,104.82,104.31,104.73,366746
2017-04-18,104.24,104.27,103.7,103.94,202441
2017-04-19,103.62,103.73,103.13,103.25,216855
2017-04-20,104.27,104.77,104.26,104.61,237670
2017-04-21,105.45,105.83,105.06,105.18,229088
2017-04-24,105.78,105.85,105.3,105.59,261128
2017-04-25,107.19,107.51,107.13,107.29,314812
2017-04-26,108.48,108.88,108.36,108.47,415399
2017-04-27,108.36,108.46,107.77,107.98,216608
2017-04-28,106.93,107.17,106.65,106.72,230042
2017-05-01,106.87,107,106.67,106.88,110580
2017-05-02,108.08,108.24,107.64,107.81,271518
2017-05-03,107.05,107.61,106.9,107.44,373493
2017-05-04,107.84,107.84,107.02,107.73,154464
2017-05-05,107.81,108.5,107.7,108.47,222944
2017-05-08,108.56,108.9,108.55,108.75,172983
2017-05-09,107.61,107.7,106.94,107.04,238286
2017-05-10,104.9,104.96,104.3,104.42,447364
2017-05-11,105.34,105.52,104.92,105.44,287311
2017-05-12,104.78,105.23,104.78,105.06,280715
2017-05-15,105.12,105.16,104.71,105.01,303949
2017-05-16,105.7,105.95,105.25,105.52,280492
2017-05-17,105.43,105.94,104.33,104.4,262443
2017-05-18,104.5,105.6,104.45,105.37,214194
2017-05-19,105.7,106.39,105.7,106.15,180183
2017-05-22,105.94,106.54,105.8,106.09,335063
2017-05-23,106.58,107.01,106.58,106.66,232839
2017-05-24,106.09,106.24,105.55,105.91,154437
2017-05-25,105.85,106.13,105.71,105.89,182208
2017-05-26,105.38,105.7,105.2,105.7,159216
2017-05-30,105.79,106.69,105.75,106.47,196418
2017-05-31,105.96,106.3,105.35,106.13,187996
2017-06-01,106.43,107,106.33,106.98,172741
2017-06-02,107.61,108.18,107.44,107.94,278422
2017-06-05,106.52,106.81,106.09,106.35,184261
2017-06-06,106.13,106.61,106.12,106.39,208251
2017-06-07,106.47,106.56,105.99,106.12,128826
2017-06-08,105.1,105.25,104.13,104.39,439147
2017-06-09,104.32,104.88,103.97,104.35,278928
2017-06-12,104.84,105.26,104.72,105.05,393748
2017-06-13,105.53,106,105.3,106,965460
2017-06-14,105.73,105.77,104.97,105.3,151314
2017-06-15,104.11,104.65,103.92,104.39,355311
2017-06-16,103.61,103.61,103.21,103.52,303224
2017-06-19,103.23,103.34,103,103.33,235936
2017-06-20,103.13,103.18,102.26,102.46,305231
2017-06-21,103.51,103.51,103.08,103.19,214130
2017-06-22,104,104.26,103.94,104.11,232382
2017-06-23,103.78,103.9,103.64,103.86,107774
2017-06-26,103.87,104.17,103.59,103.6,159522
2017-06-27,103.6,103.65,103.11,103.17,221851
2017-06-28,103.61,103.97,103.4,103.93,196205
2017-06-29,103.74,103.74,102.48,102.97,185157
2017-06-30,103.65,103.91,103.29,103.64,171669
2017-07-03,104.41,104.95,104.26,104.64,167941
2017-07-05,106.73,107.35,106.68,107.11,503657
2017-07-06,106.65,106.68,105.88,106.04,280350
2017-07-07,106.73,107.19,106.63,107.05,247629
2017-07-10,106.79,107.06,106.72,106.8,122298
2017-07-11,106.68,107.04,106.16,106.79,488739
2017-07-12,108.18,108.44,107.83,108.43,316872
2017-07-13,108.06,108.45,108.02,108.4,202364
2017-07-14,108.61,109.23,108.61,108.76,297421
2017-07-17,108.57,108.99,108.57,108.88,237523
2017-07-18,108.76,108.76,108.22,108.56,186487
2017-07-19,108.15,108.41,108.13,108.26,151205
2017-07-20,108.49,108.62,108.07,108.4,154037
2017-07-21,108.03,108.06,107.62,107.88,179381
2017-07-24,107.87,108.02,107.67,107.98,128641
2017-07-25,108.4,109.1,108.32,108.69,201658
2017-07-26,108.91,109.44,108.88,109.32,159251
2017-07-27,109.81,110.51,109.76,110.21,227633
2017-07-28,110.36,110.79,110.34,110.79,189752
2017-07-31,111.52,111.52,110.99,111.36,143386
2017-08-01,112.62,112.88,112.1,112.67,376538
2017-08-02,112.29,112.69,112,112.69,180771
2017-08-03,111.27,111.4,110.81,111.25,256311
2017-08-04,112.27,112.31,111.51,112.15,152427
2017-08-07,112.49,112.66,112.43,112.63,143152
2017-08-08,112.76,112.99,112.54,112.72,144888
2017-08-09,111.63,111.8,111.37,111.62,113441
2017-08-10,112.11,112.29,110.74,110.91,284566
2017-08-11,110.99,111.19,110.42,110.65,360005
2017-08-14,111.38,111.89,111.29,111.55,213856
2017-08-15,111.91,112.16,111.79,111.79,186935
2017-08-16,110.89,111.12,110.72,110.92,164613
2017-08-17,110.77,110.77,109.83,109.99,127643
2017-08-18,110.53,110.7,110.06,110.27,121341
2017-08-21,110.93,111.41,110.89,111.24,170002
2017-08-22,111.16,111.52,111.08,111.39,191114
2017-08-23,111.45,111.6,111.2,111.37,144801
2017-08-24,110.76,111.2,110.63,110.75,155283
2017-08-25,111.07,111.51,110.96,111.36,156418
2017-08-28,111.01,111.01,110.58,110.8,72193
2017-08-29,110.07,110.63,110.02,110.61,118506
2017-08-30,110.63,110.84,110.04,110.82,175608
2017-08-31,110.79,111.61,110.75,111.5,295194
2017-09-01,111.26,112.37,111.15,111.55,292073
2017-09-05,111.87,112.5,111.71,112.13,231857
2017-09-06,112.47,112.54,111.98,112.24,185079
2017-09-07,113.02,113.25,112.48,112.78,268121
2017-09-08,113.49,113.66,113.19,113.46,223825
2017-09-11,114.42,114.9,114.29,114.71,187991
2017-09-12,114.84,115.24,114.8,115.01,181818
2017-09-13,114.82,115.17,114.73,115.08,113516
2017-09-14,114.98,115.82,114.94,115.56,225129
2017-09-15,115.58,116.25,115.58,116.15,171719
2017-09-18,116.28,116.37,115.84,116.05,114901
2017-09-19,118.24,118.65,118.23,118.49,279210
2017-09-20,118.43,118.82,118.26,118.79,196041
