Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,43.574,43.728,43,43.21,771727
2017-01-04,43.45,43.91,43.345,43.641,675270
2017-01-05,43.852,44.216,43.641,44.197,1219541
2017-01-06,44.273,44.389,43.88,44.025,626940
2017-01-09,43.88,44.436,43.709,44.12,948659
2017-01-10,44.273,44.485,43.709,43.833,787793
2017-01-11,43.9,44.192,43.623,44.178,757246
2017-01-12,44.369,44.512,44.033,44.321,609687
2017-01-13,44.312,44.656,44.053,44.618,577189
2017-01-17,44.924,45.49,44.924,45.337,933471
2017-01-18,45.145,45.396,44.732,44.762,976436
2017-01-19,44.695,44.8,44.436,44.532,708594
2017-01-20,44.714,45.053,44.512,44.915,869103
2017-01-23,44.868,45.327,44.666,45.174,1060289
2017-01-24,45.815,46.916,45.481,46.773,4532007
2017-01-25,47.472,47.659,47.156,47.252,1721283
2017-01-26,47.204,47.29,46.151,46.457,2008725
2017-01-27,46.457,46.534,45.413,45.69,1213095
2017-01-30,45.594,45.739,44.877,45.02,1340510
2017-01-31,45.211,45.452,44.982,45.221,946102
2017-02-01,45.059,45.49,44.709,45.155,857823
2017-02-02,45.471,45.634,45.337,45.461,742473
2017-02-03,45.518,46.247,45.461,45.921,1038214
2017-02-06,45.854,45.854,45.02,45.317,779757
2017-02-07,44.963,45.115,44.312,44.676,977315
2017-02-08,44.714,45.097,44.256,45.011,731528
2017-02-09,45.211,45.557,44.976,45.202,828408
2017-02-10,45.442,45.672,45.289,45.356,804643
2017-02-13,45.385,45.729,45.165,45.729,963767
2017-02-14,45.729,45.796,45.298,45.634,606945
2017-02-15,45.557,45.739,45.399,45.528,746218
2017-02-16,46.073,46.126,45.375,45.548,1420804
2017-02-17,45.538,45.681,45.135,45.49,641120
2017-02-21,45.567,45.644,45.069,45.251,1300938
2017-02-22,45.107,45.581,45.069,45.221,1214091
2017-02-23,45.49,45.538,44.809,45.115,1059373
2017-02-24,44.992,45.221,44.293,44.321,1320929
2017-02-27,44.561,44.609,43.986,44.283,1482208
2017-02-28,43.957,44.59,43.814,44.043,1282283
2017-03-01,44.273,44.273,43.766,43.814,1501225
2017-03-02,43.574,43.976,43.546,43.709,870897
2017-03-03,43.645,43.699,43.421,43.546,1021915
2017-03-06,43.613,44.016,43.297,43.957,837519
2017-03-07,43.948,44.485,43.862,44.465,825338
2017-03-08,44.293,44.561,43.733,43.776,1158158
2017-03-09,43.766,43.862,43.287,43.718,1261851
2017-03-10,44.025,44.111,43.584,44.043,1030282
2017-03-13,44.016,44.475,44.006,44.399,876067
