Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,86.362,89.152,85.65,86.625,3006873
2017-01-04,86.402,86.763,83.523,83.649,2876424
2017-01-05,83.953,84.313,82.011,83.201,2608382
2017-01-06,83.211,83.416,81.411,81.718,2403069
2017-01-09,81.475,81.502,79.133,79.698,4058610
2017-01-10,79.405,81.874,78.771,79.61,5432692
2017-01-11,79.669,80.918,79.152,79.786,2570507
2017-01-12,79.796,80.497,78.302,78.722,2665866
2017-01-13,78.469,79.024,77.18,77.679,2509060
2017-01-17,78.537,80.673,78.235,78.868,2728553
2017-01-18,78.411,79.874,78.176,79.65,2949498
2017-01-19,79.513,79.551,77.805,78.605,2614492
2017-01-20,79.289,79.561,77.883,78.527,1762111
2017-01-23,78.273,79.093,77.626,78.478,2133567
2017-01-24,78.868,80.615,78.625,79.992,2170509
2017-01-25,80.411,80.527,79.19,80.039,1869946
2017-01-26,80.331,80.507,79.551,79.952,2207422
2017-01-27,79.854,81.757,79.249,80.029,4087660
2017-01-30,79.874,81.475,78.673,81.386,3500161
2017-01-31,80.743,80.743,77.679,78.888,4104860
2017-02-01,79.405,79.776,78.019,79.014,2647380
2017-02-02,80.158,81.465,79.425,80.507,3155522
2017-02-03,80.488,82.011,79.893,81.493,2763525
2017-02-06,81.386,82.45,80.488,81.327,2968749
2017-02-07,83.894,85.26,82.138,83.123,6150262
2017-02-08,82.167,84.09,81.845,83.25,4032645
2017-02-09,84,85.543,83.981,85.454,2426344
2017-02-10,85.719,85.962,84.889,85.211,2037662
2017-02-13,85.26,85.806,85.064,85.23,1580704
2017-02-14,85.152,85.874,84.284,85.874,1607480
2017-02-15,86.02,86.422,85.133,85.874,1451652
2017-02-16,86.206,86.372,84.87,85.113,1825696
2017-02-17,84.685,85.006,84.06,84.538,1577616
2017-02-21,85.377,87.007,84.635,86.919,2831688
2017-02-22,86.206,86.928,85.192,85.865,2523776
2017-02-23,86.441,86.987,85.972,86.704,1824701
2017-02-24,86.026,86.37,84.829,86.35,2013175
2017-02-27,86.4,87.166,85.78,86.724,1809878
2017-02-28,86.164,87.559,83.552,83.64,4236849
2017-03-01,84.131,85.604,83.956,84.426,1966152
2017-03-02,84.21,84.308,81.638,81.696,3247217
2017-03-03,82.266,83.062,81.696,81.893,2365049
2017-03-06,81.746,82.865,80.999,82.825,2010347
2017-03-07,82.63,83.473,81.599,81.942,2722410
2017-03-08,81.883,83.248,81.647,82.236,2224935
2017-03-09,81.716,81.716,78.928,80.263,3168778
2017-03-10,80.538,81.088,79.899,80.46,1869518
2017-03-13,80.626,82.03,80.513,81.932,1733702
2017-03-14,81.176,81.716,80.578,81.579,1428151
2017-03-15,81.932,84.151,81.619,83.926,2347934
2017-03-16,84.161,84.22,83.209,83.582,1715665
2017-03-17,83.719,84.121,83.209,83.789,1845432
2017-03-20,83.622,83.67,81.923,82.698,1760200
2017-03-21,82.944,83.032,79.861,80.518,2135959
2017-03-22,80.018,81.039,79.605,80.498,2357559
2017-03-23,80.518,81.255,79.989,80.303,2019112
2017-03-24,79.89,80.047,78.624,78.821,2223210
2017-03-27,78.378,80.234,78.221,79.959,1674614
2017-03-28,79.919,80.665,79.311,80.146,1719954
2017-03-29,79.989,81.686,79.674,81.519,1417142
2017-03-30,81.834,81.962,79.135,79.173,9134334
2017-03-31,79.586,80.194,79.183,79.586,3233331
2017-04-03,79.851,79.909,78.084,79.035,2416924
2017-04-04,79.292,79.448,77.902,78.437,2227726
2017-04-05,78.928,80.057,77.338,77.396,2268201
2017-04-06,77.779,78.711,77.367,77.877,2359369
2017-04-07,77.672,79.507,77.475,78.711,2487952
2017-04-10,78.928,80.165,78.564,79.458,2461437
