Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,16.31,16.45,16.21,16.44,11136558
2017-01-04,16.5,16.94,16.5,16.86,15852992
2017-01-05,16.91,17.27,16.8,17.09,17055852
2017-01-06,17.24,17.43,17.11,17.17,14643244
2017-01-09,17.22,17.555,17.19,17.5,11907789
2017-01-10,17.51,17.78,17.32,17.37,10458691
2017-01-11,17.46,17.6,17.17,17.3,10964617
2017-01-12,17.13,17.39,16.96,17.38,12372701
2017-01-13,17.38,17.66,17.23,17.25,11346168
2017-01-17,17.07,17.09,16.86,16.96,13122300
2017-01-18,17.01,17.14,16.83,17.11,12701418
2017-01-19,17.09,17.15,16.75,16.79,12706159
2017-01-20,16.82,16.9,16.46,16.58,14806541
2017-01-23,16.57,16.81,16.46,16.61,11781151
2017-01-24,16.61,16.6579,16.33,16.52,12723171
2017-01-25,16.7,16.79,16.59,16.73,10942963
2017-01-26,16.86,17.07,16.79,16.81,10075324
2017-01-27,16.91,16.97,16.53,16.57,11842210
2017-01-30,16.57,17.1,16.41,16.94,18255880
2017-01-31,16.95,17.74,16.95,17.62,25843966
2017-02-01,17.84,17.92,17.1,17.24,21112641
2017-02-02,17.33,17.86,17.12,17.78,19357204
2017-02-03,17.72,17.85,17.44,17.61,14406949
2017-02-06,17.7,17.97,17.41,17.93,13189101
2017-02-07,18,18.67,17.99,18.26,26754640
2017-02-08,18.77,18.77,18.045,18.72,37272883
2017-02-09,17.05,17.12,16.26,16.41,109154340
2017-02-10,15.96,16,15.5,15.58,72976285
2017-02-13,15.63,15.99,15.51,15.81,29083035
2017-02-14,15.92,16.6,15.85,16.52,34755330
2017-02-15,16.85,16.89,16.3,16.74,35157884
2017-02-16,16.69,16.79,16.32,16.35,21581082
2017-02-17,16.36,16.625,16.36,16.62,14369643
2017-02-21,16.64,16.69,16.3,16.42,15995329
2017-02-22,16.4,16.5101,16.01,16.08,13571497
2017-02-23,16.12,16.27,15.9,16.03,15282337
2017-02-24,15.95,15.985,15.85,15.98,9130465
2017-02-27,15.93,16.13,15.72,16.06,13635635
2017-02-28,16,16.04,15.74,15.77,10835081
2017-03-01,15.9,15.9,15.585,15.79,18150955
2017-03-02,15.77,16,15.72,15.79,12396238
2017-03-03,15.84,16.1,15.68,15.75,15177995
2017-03-06,15.56,15.78,15.56,15.56,11444559
2017-03-07,15.52,15.73,15.16,15.18,16672234
2017-03-08,15.19,15.36,15.08,15.24,12640488
2017-03-09,15.24,15.385,15.03,15.22,10952697
2017-03-10,15.23,15.27,14.94,15.12,13552591
2017-03-13,15.1,15.27,15.1,15.21,8719026
2017-03-14,15.2,15.58,15.15,15.32,15038412
2017-03-15,15.25,15.3,14.85,15.03,19367980
2017-03-16,15.08,15.28,15.04,15.19,11658760
2017-03-17,15.2,15.23,15.03,15.08,10985431
2017-03-20,15.11,15.11,14.82,15.09,12487754
2017-03-21,15.08,15.08,14.5,14.54,19081925
2017-03-22,14.5,14.99,14.32,14.98,21041598
2017-03-23,14.99,15.05,14.73,14.93,11604136
2017-03-24,15.06,15.37,15.03,15.14,15541246
2017-03-27,15.02,15.055,14.75,14.99,10442019
2017-03-28,15,15.17,14.8,14.94,14820798
2017-03-29,14.86,15.06,14.7,15.04,11065344
2017-03-30,15.05,15.08,14.9,14.92,8405893
2017-03-31,14.93,15.06,14.91,14.95,8375938
2017-04-03,14.97,14.98,14.65,14.84,11593207
2017-04-04,14.75,14.76,14.58,14.69,8921075
2017-04-05,14.61,14.815,14.41,14.53,13722484
2017-04-06,14.53,14.62,14.3,14.39,18058462
2017-04-07,14.36,14.43,14.25,14.29,8249915
2017-04-10,14.3,14.46,14.2,14.36,9983986
2017-04-11,14.3,14.4,14.2,14.31,7590752
2017-04-12,14.34,14.78,14.26,14.42,12906268
2017-04-13,14.49,14.5,14.22,14.3,10525720
2017-04-17,14.3,14.55,14.12,14.4,10392157
2017-04-18,14.37,14.56,14.27,14.44,9691113
2017-04-19,14.44,14.79,14.44,14.54,14258701
2017-04-20,14.58,14.75,14.51,14.65,9548953
2017-04-21,14.65,14.75,14.41,14.63,13785164
2017-04-24,14.7,14.82,14.56,14.71,12756187
2017-04-25,14.71,14.96,14.63,14.66,20442242
2017-04-26,15.9,16.48,15.76,15.82,79255785
2017-04-27,15.8,16.63,15.8,16.61,41102980
2017-04-28,16.5,16.79,16.43,16.48,26542839
2017-05-01,17.14,17.65,16.97,17.54,47383318
2017-05-02,17.57,18.53,17.35,18.24,64104589
2017-05-03,18.37,18.595,18.15,18.57,29730335
2017-05-04,18.6,18.89,18.36,18.48,24596448
2017-05-05,18.45,18.725,18.37,18.69,15048329
2017-05-08,18.68,18.68,18.16,18.31,18936011
2017-05-09,18.31,18.49,18.195,18.37,12488197
2017-05-10,18.37,18.56,18.25,18.54,9968066
2017-05-11,18.63,18.745,18.31,18.39,12441423
2017-05-12,18.45,19.05,18.34,18.61,21973273
2017-05-15,18.69,19.3184,18.63,19.23,22593155
2017-05-16,19.38,19.785,19.09,19.49,35620005
2017-05-17,18.9883,19.25,18.22,18.28,30060622
2017-05-18,18.17,18.61,17.97,18.51,19883282
2017-05-19,18.68,18.9,18.27,18.35,16138349
2017-05-22,18.35,18.52,18.27,18.43,11347502
2017-05-23,18.41,18.5133,17.98,18.15,16822542
2017-05-24,18.1,18.34,17.83,17.98,15510498
2017-05-25,18.04,18.27,17.94,17.95,9551092
2017-05-26,17.99,18.3,17.95,18.23,10428640
2017-05-30,18.21,18.72,18.18,18.43,18187459
2017-05-31,18.48,18.6,18.08,18.32,17409595
2017-06-01,18.22,18.66,18.2,18.53,13166672
2017-06-02,18.53,18.58,18.22,18.31,9368458
2017-06-05,18.29,18.34,18.02,18.23,10553220
2017-06-06,18.1,18.15,17.47,17.57,22768168
2017-06-07,17.62,17.745,17.3,17.44,15841662
2017-06-08,17.44,17.61,17.27,17.59,10534887
2017-06-09,17.65,17.66,16.45,16.9,21265636
2017-06-12,16.73,17.1867,16.27,17.04,20490656
2017-06-13,17.12,17.22,16.76,16.97,13220627
2017-06-14,17.05,17.13,16.57,16.76,12641911
2017-06-15,16.53,16.89,16.46,16.83,11878845
2017-06-16,16.75,16.81,16.55,16.67,9927394
2017-06-19,16.77,17.08,16.75,17.06,11304163
2017-06-20,17.15,17.15,16.84,16.91,8506967
2017-06-21,17.11,18.04,17.11,17.78,23685153
2017-06-22,17.85,18.38,17.66,18.15,20702636
2017-06-23,18.15,18.63,18.15,18.5,24787633
2017-06-26,18.55,19.01,18.11,18.29,17414619
2017-06-27,18.43,18.6,18.12,18.12,14732583
2017-06-28,18.22,18.235,17.75,17.95,17366399
2017-06-29,17.93,17.936,17.23,17.65,18786903
