Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,67.495,67.495,66.335,66.93,10738320
2017-01-04,66.93,67.876,66.871,67.319,8101473
2017-01-05,66.705,67.583,66.403,67.465,7282559
2017-01-06,66.687,66.774,66.297,66.54,9707222
2017-01-09,66.608,67.067,66.598,66.978,8892003
2017-01-10,66.91,67.524,66.501,66.51,10505785
2017-01-11,66.482,66.89,66.472,66.804,6856376
2017-01-12,66.638,66.833,66.208,66.257,6712508
2017-01-13,66.267,66.307,65.389,65.438,10245347
2017-01-17,66.374,67.544,66.344,66.695,13500494
2017-01-18,66.17,66.394,65.838,66.394,7508985
2017-01-19,66.413,66.472,65.779,65.916,6955764
2017-01-20,66.033,66.121,65.332,65.488,12045559
2017-01-23,65.322,65.488,64.883,64.971,8137191
2017-01-24,65.205,65.711,64.98,65.702,10668021
2017-01-25,65.818,66.024,65.106,65.205,8944598
2017-01-26,65.438,65.53,64.941,65.049,6665633
2017-01-27,65.176,65.282,63.636,64.006,13745419
2017-01-30,63.976,64.804,63.976,64.747,8858198
2017-01-31,64.542,65.205,64.22,65.059,9559261
2017-02-01,64.785,65.033,64.376,64.562,9280751
2017-02-02,64.668,65.448,64.668,65.019,9231257
2017-02-03,65.136,65.242,64.771,64.824,7822453
2017-02-06,64.698,65.18,64.698,64.727,9331833
2017-02-07,64.883,65.312,64.834,65.205,5955802
2017-02-08,65.205,66.111,65.205,66.102,7858174
2017-02-09,66.092,67.398,66.042,67.339,11366612
2017-02-10,66.53,66.871,66.052,66.307,12766962
2017-02-13,66.598,66.92,65.858,66.062,8556941
2017-02-14,66.17,66.95,66.004,66.93,8678679
2017-02-15,66.052,66.978,66.052,66.96,8784366
2017-02-16,66.94,67.495,66.881,67.134,8630976
2017-02-17,67.096,68.026,66.965,67.622,13165747
2017-02-21,69.415,70.458,68.918,69.65,22989912
2017-02-22,70.43,70.546,69.678,69.904,15629186
2017-02-23,70.185,70.674,69.366,69.512,13128088
2017-02-24,69.542,70.966,69.504,70.566,14239592
2017-02-27,70.458,70.595,69.723,69.932,9493411
2017-02-28,69.084,69.21,68.236,69.143,16364601
2017-03-01,69.182,69.289,68.383,68.675,13861199
2017-03-02,68.645,69.113,68.402,68.977,9146351
2017-03-03,69.026,69.23,68.119,68.265,9540242
2017-03-06,68.236,68.66,68.023,68.119,9418276
2017-03-07,68.139,68.441,68.099,68.109,7470681
2017-03-08,68.433,68.767,68.286,68.542,8126192
2017-03-09,68.492,68.777,68.306,68.6,7702821
2017-03-10,68.738,69.096,68.542,68.836,6849197
2017-03-13,68.728,69.18,68.453,68.689,6890610
2017-03-14,69.542,69.921,69.445,69.445,10140418
2017-03-15,69.228,69.425,68.758,69.308,8975581
2017-03-16,68.846,69.425,68.806,69.17,7190638
2017-03-17,69.308,69.475,68.552,68.629,14334990
2017-03-20,68.875,69.18,68.453,68.718,7603278
2017-03-21,68.905,69.131,68.433,68.639,8907430
2017-03-22,68.767,69.071,68.463,68.983,6574139
2017-03-23,68.934,69.042,68.487,68.6,7025427
2017-03-24,68.728,68.905,68.273,68.355,5966556
2017-03-27,68.266,68.806,68.109,68.403,5890757
2017-03-28,68.08,69.101,68.08,69.052,7385357
2017-03-29,69.081,69.897,69.042,69.465,7119106
2017-03-30,69.415,70.427,69.365,70.299,8288923
2017-03-31,70.034,71.251,69.945,70.78,10121585
2017-04-03,70.78,71.223,70.486,70.535,8443537
2017-04-04,70.447,70.761,70.242,70.711,5668982
2017-04-05,70.348,71.006,70.265,70.358,6465960
2017-04-06,70.407,70.8,70.093,70.141,6049308
2017-04-07,70.8,71.674,70.505,71.585,10965430
2017-04-10,71.674,72.156,71.419,71.742,7630193
2017-04-11,71.684,72.126,71.615,72.106,5917050
2017-04-12,72.223,72.499,71.929,72.116,6748472
2017-04-13,72.046,72.327,71.831,71.831,5429849
2017-04-17,71.841,72.253,71.831,72.165,5565698
2017-04-18,72.213,72.764,72.156,72.558,6749605
2017-04-19,72.764,73.039,72.528,72.735,6047168
2017-04-20,72.803,73.756,72.773,73.452,7821992
2017-04-21,73.392,73.756,73.255,73.589,5858878
2017-04-24,73.726,74.041,73.078,73.432,7951618
2017-04-25,73.618,73.814,73.51,73.697,5825074
2017-04-26,73.913,74.401,73.814,74.071,7075791
2017-04-27,74.178,74.335,73.667,74.081,6163295
2017-04-28,73.884,74.081,73.579,73.824,7465029
2017-05-01,73.736,74.35,73.736,73.874,6278606
2017-05-02,73.941,74.345,73.894,74.158,7365593
2017-05-03,74.041,74.512,73.822,74.394,5624786
2017-05-04,74.561,75.018,74.463,74.964,5601814
2017-05-05,75.042,75.223,74.807,75.12,5700205
2017-05-08,75.12,75.14,74.698,74.747,6631458
2017-05-09,75.061,75.661,74.954,75.337,8405830
2017-05-10,75.455,75.9,75.317,75.821,7598909
2017-05-11,75.475,75.84,75.054,75.257,8446161
2017-05-12,75.079,75.376,74.506,74.843,5960798
2017-05-15,74.931,75.594,74.931,75.416,8917722
2017-05-16,75.317,75.396,74.22,74.25,8467897
2017-05-17,74.19,74.862,74.1,74.259,11090238
2017-05-18,76.008,76.77,75.257,76.651,19384094
2017-05-19,77.077,78.529,76.879,77.868,18686318
2017-05-22,77.748,78.094,77.398,77.65,8996283
2017-05-23,77.68,78.065,77.541,77.59,7672661
2017-05-24,77.66,77.704,77.245,77.255,7589358
2017-05-25,77.462,77.946,77.255,77.413,6206055
2017-05-26,77.472,77.64,76.899,77.235,6184219
2017-05-30,77.106,77.502,77.037,77.255,5472939
2017-05-31,77.452,78.016,77.323,77.7,8294809
2017-06-01,77.738,78.895,77.7,78.895,8246403
2017-06-02,78.885,79.014,78.312,78.707,8078176
2017-06-05,78.687,79.553,78.569,79.34,10263122
2017-06-06,78.52,78.649,77.363,78.026,11657615
2017-06-07,78.174,78.589,77.831,78.243,8609995
2017-06-08,78.668,79.212,77.333,78.026,11035766
2017-06-09,78.124,78.649,77.818,78.51,9513981
2017-06-12,78.49,79.449,77.936,78.332,10531256
2017-06-13,78.302,78.658,77.986,78.609,5592104
2017-06-14,78.609,79.118,78.352,78.985,5058490
2017-06-15,78.272,78.391,76.869,78.006,11368018
2017-06-16,73.103,74.635,72.45,74.378,56877532
2017-06-19,74.516,75.139,73.666,74.635,16272381
2017-06-20,75.011,75.049,74.457,74.674,10134327
2017-06-21,74.733,75.727,74.714,75.366,9115644
2017-06-22,75.159,75.189,74.437,74.655,8205219
2017-06-23,74.733,74.911,73.696,73.982,13231388
2017-06-26,74.092,75.059,74.062,74.635,8678629
2017-06-27,74.655,75.495,74.585,75.139,6529083
2017-06-28,75.376,75.92,75.267,75.633,7069794
2017-06-29,75.376,75.445,74.62,75.059,7143815
2017-06-30,75.208,75.396,74.803,74.813,7042820
2017-07-03,74.971,75.465,74.22,74.496,4904776
2017-07-05,74.684,75.079,74.303,74.457,6107498
2017-07-06,74.486,75.099,74.378,74.605,6233283
2017-07-07,74.783,74.951,74.19,74.467,5235660
2017-07-10,74.288,74.447,72.292,72.39,15229952
2017-07-11,72.539,73.201,72.49,72.628,7618391
2017-07-12,72.816,73.359,72.816,73.093,5766241
2017-07-13,73.814,74.388,73.656,74.19,8253663
2017-07-14,75.396,75.677,75.041,75.465,9257523
2017-07-17,75.416,75.99,75.317,75.495,8937522
2017-07-18,75.376,75.665,75.129,75.327,4364676
2017-07-19,75.208,75.347,74.733,75.001,5369941
2017-07-20,75.109,75.376,74.833,75.149,5011749
2017-07-21,74.971,75.357,74.684,75.277,7235937
2017-07-24,75.159,76.271,75.159,76.008,7471979
2017-07-25,76.721,77.956,76.503,77.62,11636377
2017-07-26,77.65,78.263,77.047,77.996,6793768
2017-07-27,77.818,78.94,77.58,78.865,8070760
2017-07-28,78.885,79.038,78.624,78.895,5032591
2017-07-31,78.905,79.419,78.782,79.073,6316890
2017-08-01,79.33,79.804,79.083,79.578,5787172
2017-08-02,79.419,80.18,79.38,79.607,8609807
2017-08-03,80.408,80.823,79.746,79.944,10061739
2017-08-04,80.131,80.467,79.291,79.558,7218938
2017-08-07,79.646,80.517,79.617,80.349,5547566
2017-08-08,80.24,80.922,79.973,80.655,7465829
2017-08-09,80.685,81.56,80.477,81.182,6640976
2017-08-10,80.645,80.973,80.128,80.237,7932593
2017-08-11,80.307,80.824,79.939,79.978,7945521
2017-08-14,80.167,80.814,80.103,80.277,7832873
2017-08-15,80.406,80.973,80.118,80.347,7100346
2017-08-16,80.844,81.013,80.118,80.555,11575049
2017-08-17,78.437,79.387,77.919,79.282,17266970
2017-08-18,79.203,79.929,78.864,78.894,9803196
2017-08-21,78.705,79.65,78.377,79.292,9664331
2017-08-22,79.382,79.74,79.292,79.6,6575587
2017-08-23,79.929,80.138,79.461,79.541,7838192
2017-08-24,80.187,80.456,77.442,77.929,19220617
2017-08-25,78.088,78.675,78.069,78.218,9952190
2017-08-28,77.999,78.05,77.452,77.621,8663088
2017-08-29,77.263,78.566,77.094,78.357,7702140
2017-08-30,78.407,78.685,78.108,78.128,5860332
2017-08-31,78.188,78.337,77.651,77.661,8236535
2017-09-01,77.899,78.088,77.8,77.959,6506321
2017-09-05,77.541,79.471,77.492,79.382,12125802
2017-09-06,79.461,79.978,79.302,79.66,8469891
2017-09-07,79.899,80.337,79.581,79.7,6856598
2017-09-08,79.322,79.456,77.322,78.466,10051823
2017-09-11,78.735,78.934,78.248,78.665,7037095
2017-09-12,78.884,79.491,78.755,79.193,6038507
2017-09-13,79.193,80.257,79.173,79.441,8870199
2017-09-14,79.372,79.402,78.8,79.262,6974361
2017-09-15,79.392,80.327,78.854,79.959,13387541
2017-09-18,79.789,80.695,79.531,79.581,8217873
2017-09-19,79.76,80.038,79.282,79.63,6206794
2017-09-20,79.75,80.138,79.451,80.078,5345905
2017-09-21,80.148,80.148,79.302,79.591,6342553
2017-09-22,79.471,79.66,78.835,79.113,5627433
2017-09-25,78.506,79.68,78.447,78.735,8592837
2017-09-26,78.626,79.123,78.506,78.974,5866086
2017-09-27,79.004,79.153,78.258,78.874,6281854
2017-09-28,78.586,78.665,77.71,78.536,12438033
2017-09-29,78.437,78.586,77.571,77.73,10404541
2017-10-02,77.492,78.417,77.094,78.039,7547531
2017-10-03,78.417,79.242,78.337,78.805,7978137
2017-10-04,78.854,79.363,78.655,78.675,6205765
2017-10-05,78.755,79.392,78.665,78.994,5163150
2017-10-06,78.367,78.755,77.84,78.586,6279071
2017-10-09,79.507,80.953,79.471,80.108,13563597
2017-10-10,82.247,84.435,82.177,83.689,25241531
2017-10-11,84.137,85.838,83.659,85.281,18640560
2017-10-12,85.251,85.678,84.614,85.649,12876643
2017-10-13,85.788,86.494,85.788,86.166,9437100
2017-10-16,86.126,86.166,84.574,85.29,9347537
2017-10-17,85.052,85.903,84.874,85.529,5882032
2017-10-18,85.698,85.915,85.559,85.768,5500347
2017-10-19,85.698,86.206,85.316,85.947,6679646
2017-10-20,86.146,86.992,85.828,86.982,7655193
2017-10-23,86.882,88.454,86.803,88.185,10638986
2017-10-24,88.225,88.294,87.449,87.519,7709989
2017-10-25,87.389,88.136,86.972,88.016,6441097
2017-10-26,88.195,88.643,87.559,88.155,6513745
2017-10-27,87.678,87.927,86.693,87.708,6650896
2017-10-30,87.379,87.489,85.938,86.494,7089159
2017-10-31,86.405,87.001,86.146,86.852,6038296
2017-11-01,86.614,87.932,86.544,87.479,6208585
2017-11-02,87.817,88.698,87.34,88.334,5210154
2017-11-03,88.553,89.409,88.295,89.21,6546243
2017-11-06,88.951,89.21,88.215,88.235,5283476
2017-11-07,88.404,88.593,87.956,88.484,5374899
2017-11-08,88.643,89.946,88.633,89.787,6802626
2017-11-09,89.468,90.095,88.882,89.827,6940127
2017-11-10,89.767,91.209,89.727,90.443,7686309
2017-11-13,90.563,91.498,90.394,90.513,8532750
2017-11-14,90.224,90.722,89.707,90.612,9880639
2017-11-15,89.866,90.374,89.18,89.359,8315178
2017-11-16,94.621,99.157,94.223,99.098,38211985
2017-11-17,96.959,99.61,96.959,96.959,23667334
2017-11-20,95.934,97.128,95.258,97.009,16476936
2017-11-21,97.228,97.407,95.815,96.014,12725413
2017-11-22,96.143,96.302,95.606,95.905,8962286
2017-11-24,96.362,96.72,96.024,96.113,4519813
2017-11-27,96.342,97.138,95.795,96.113,8946154
2017-11-28,96.084,96.377,95.318,96.263,8753551
2017-11-29,96.71,97.745,96.372,97.049,11480872
2017-11-30,97.576,97.924,96.004,96.72,12888566
