Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-03,87.605,87.99,86.843,87.556,10738211
2017-01-04,87.778,87.778,86.459,86.594,9741985
2017-01-05,86.883,86.989,85.198,85.304,14988136
2017-01-06,85.533,85.717,84.599,85.255,17135874
2017-01-09,84.985,84.985,83.376,83.848,14270629
2017-01-10,83.974,84.109,82.76,82.778,13772866
2017-01-11,82.75,83.762,82.712,83.626,11452132
2017-01-12,84.07,84.176,82.914,83.174,10791442
2017-01-13,83.106,83.501,83.01,83.184,8723577
2017-01-17,83.404,84.185,83.086,84.156,13737237
2017-01-18,83.868,84.205,82.894,83.116,12264198
2017-01-19,82.818,82.943,81.489,81.624,17002369
2017-01-20,82.307,82.808,81.932,82.741,19410145
2017-01-23,82.539,82.731,81.641,81.853,11847589
2017-01-24,81.863,82.337,81.715,81.969,12284600
2017-01-25,82.211,82.731,82.125,82.211,9941252
2017-01-26,82.548,82.682,81.999,82.46,9110120
2017-01-27,82.172,82.606,81.926,82.374,11358348
2017-01-30,82.287,82.317,81.089,81.747,13247507
2017-01-31,81.922,81.95,80.082,80.813,19854287
2017-02-01,80.919,81.074,79.513,79.898,15676179
2017-02-02,80.159,80.467,79.523,80.39,12654489
2017-02-03,80.631,80.65,79.861,80.477,13229802
2017-02-06,80.486,80.583,79.889,80.255,10307940
2017-02-07,80.178,80.553,79.427,79.735,12136817
2017-02-08,79.705,79.832,78.909,79.21,14405264
2017-02-09,79.521,79.764,79.389,79.56,9871402
2017-02-10,79.968,80.464,79.842,80.221,9015135
2017-02-13,80.464,80.867,80.056,80.688,9316465
2017-02-14,80.6,80.785,79.774,80.512,11695906
2017-02-15,80.337,80.863,80.166,80.843,12099010
2017-02-16,80.804,81.096,79.881,80.007,10916372
2017-02-17,79.802,79.9,79.171,79.481,16079739
2017-02-21,79.832,79.861,79.035,79.608,16883771
2017-02-22,79.375,79.424,78.616,78.675,13279007
2017-02-23,79.151,79.929,78.772,79.501,14237462
2017-02-24,79.327,79.521,78.51,78.822,11660549
2017-02-27,78.869,79.434,78.558,79.268,13842162
2017-02-28,79.054,79.705,79.054,79.054,17310384
2017-03-01,79.424,81.008,79.424,80.706,17978219
2017-03-02,80.493,81.903,80.484,80.98,14571981
2017-03-03,81.231,81.271,79.968,80.163,12643897
2017-03-06,80.143,80.59,80.037,80.522,9891609
2017-03-07,80.795,80.97,79.852,80.221,13074468
2017-03-08,80.056,80.085,78.753,78.772,17295691
2017-03-09,78.393,79.444,78.072,79.394,15129823
2017-03-10,80.143,80.173,78.894,79.337,11662836
2017-03-13,79.23,79.657,78.792,79.151,9799200
2017-03-14,78.743,78.966,78.198,78.733,11659961
2017-03-15,79.083,79.774,78.787,79.715,12313245
2017-03-16,79.745,79.909,79.394,79.784,10208121
2017-03-17,79.745,79.968,79.541,79.715,19373588
2017-03-20,79.444,79.755,79.171,79.715,7920333
2017-03-21,79.871,80.056,79.327,79.55,13771263
2017-03-22,79.677,79.802,79.161,79.481,11488488
2017-03-23,79.356,79.929,79.19,79.58,9183346
2017-03-24,79.745,79.745,78.888,78.967,9390022
2017-03-27,78.568,79.161,78.54,78.986,8710727
2017-03-28,79.054,79.735,78.705,79.56,11338219
2017-03-29,79.414,79.991,79.274,79.735,8738153
2017-03-30,79.745,81.532,79.653,81.368,45954360
2017-03-31,80.94,80.989,79.58,79.725,22355720
2017-04-03,79.735,80.016,79.083,79.784,11766071
2017-04-04,79.812,80.123,79.064,80.075,9530020
2017-04-05,80.542,81.221,80.173,80.23,14192191
2017-04-06,80.445,80.892,80.163,80.697,9821571
2017-04-07,80.92,81.037,80.377,80.454,9163944
2017-04-10,80.804,81.144,80.609,80.813,9139163
2017-04-11,80.766,80.853,80.123,80.532,8822287
2017-04-12,80.552,81.027,80.396,80.659,9787949
2017-04-13,80.415,80.424,79.297,79.414,8908983
2017-04-17,79.57,79.686,79.166,79.307,9848839
2017-04-18,79.054,79.541,78.772,78.792,9068537
2017-04-19,78.909,79.239,78.063,78.248,11066708
2017-04-20,78.695,79.463,78.452,78.753,11976517
2017-04-21,78.675,78.743,78.228,78.442,10091510
2017-04-24,79.016,79.133,78.558,78.85,8967373
2017-04-25,79.161,79.648,79.016,79.453,11024962
2017-04-26,79.249,80.036,79.123,79.133,9706857
2017-04-27,78.812,79.035,78.685,78.996,12730941
2017-04-28,80.163,80.192,79.287,79.375,12417720
2017-05-01,79.239,79.919,79.21,79.774,8912386
2017-05-02,79.852,80.289,79.618,79.764,9290729
2017-05-03,79.686,80.756,79.628,80.396,10574725
2017-05-04,79.997,80.066,79.133,79.365,16625469
2017-05-05,79.356,79.944,79.337,79.735,10505713
2017-05-08,79.715,80.629,79.715,80.581,8327361
2017-05-09,80.649,80.688,79.871,80.016,8887684
2017-05-10,80.586,80.831,80.124,80.38,9701378
2017-05-11,81.047,81.165,80.566,81.067,10237040
2017-05-12,80.851,81.165,80.713,81.008,7618549
2017-05-15,81.449,81.629,81.106,81.253,10981425
2017-05-16,81.351,81.675,80.909,81.008,9752295
2017-05-17,80.763,81.489,80.429,80.458,11347294
2017-05-18,80.242,80.615,79.899,80.223,10094359
2017-05-19,80.468,80.556,80.169,80.399,13170949
2017-05-22,80.576,80.792,80.399,80.753,9392573
2017-05-23,80.782,81.336,80.704,81.037,6987216
2017-05-24,80.88,80.998,80.478,80.753,8414088
2017-05-25,80.792,81.165,79.997,80.223,12603680
2017-05-26,80.086,80.272,79.32,80.026,8308414
2017-05-30,79.762,79.82,79.526,79.584,9137394
2017-05-31,79.428,79.438,78.967,78.996,13829344
2017-06-01,78.868,79.388,78.692,79.192,10066316
2017-06-02,79.084,79.172,77.779,78.015,21724697
2017-06-05,77.956,78.888,77.917,78.623,11734352
2017-06-06,78.8,79.8,78.721,79.692,12434882
2017-06-07,79.536,79.88,78.839,79.398,13339953
2017-06-08,79.006,79.566,78.986,79.114,11856750
2017-06-09,79.634,80.605,79.182,80.596,13799988
2017-06-12,81.125,82.127,81.096,81.381,18513284
2017-06-13,81.303,81.715,81.027,81.411,12404753
2017-06-14,81.263,81.273,80.036,80.537,13973053
2017-06-15,80.252,80.861,80.056,80.723,12088213
2017-06-16,81.067,81.979,80.664,81.931,40332257
2017-06-19,81.665,81.891,81.008,81.214,10643025
2017-06-20,80.537,80.925,79.889,80.772,13482406
2017-06-21,80.507,81.087,79.624,79.918,11636420
2017-06-22,79.928,80.056,79.388,79.566,8293512
2017-06-23,79.34,80.164,79.252,80.086,10811328
2017-06-26,80.046,80.223,79.396,79.722,7863452
2017-06-27,79.928,80.203,79.594,79.594,9395820
2017-06-28,79.889,80.232,79.669,80.007,9364618
2017-06-29,79.85,80.311,78.908,79.192,20909565
2017-06-30,79.566,79.723,79.192,79.222,14256130
2017-07-03,79.28,80.949,79.212,80.566,8582621
2017-07-05,80.154,80.154,79.011,79.34,10015103
2017-07-06,79.35,79.566,78.594,78.623,10007301
2017-07-07,78.702,79.089,78.319,78.721,10597352
2017-07-10,78.505,78.908,78.466,78.662,6458697
2017-07-11,78.829,79.246,78.545,79.094,9791523
2017-07-12,79.674,79.992,79.242,79.448,8124708
2017-07-13,79.458,79.576,79.222,79.458,5687451
2017-07-14,79.486,79.889,79.261,79.762,7639229
2017-07-17,79.486,79.908,79.32,79.35,8037451
2017-07-18,79.506,79.566,78.908,79.094,8190421
2017-07-19,78.937,79.36,78.77,79.34,9570389
2017-07-20,79.458,79.968,79.242,79.35,9861234
2017-07-21,79.144,79.33,78.505,78.623,12499569
2017-07-24,78.564,78.721,78.27,78.378,9581322
2017-07-25,79.261,79.536,78.77,78.77,11680904
2017-07-26,79.074,79.388,78.702,78.868,10664038
2017-07-27,78.741,79.369,78.404,79.32,11354399
2017-07-28,78.162,78.427,76.808,78.113,23230326
2017-07-31,78.339,78.888,78.113,78.545,13049621
2017-08-01,78.662,79.036,78.476,78.672,10616580
2017-08-02,78.407,79.134,78.309,79.094,10375006
2017-08-03,78.839,79.31,78.8,78.986,10328594
